mass,PreHW1.csv,PreHW2.csv,PreHW3.csv,PreHWGt13.csv,PreHWGt14.csv,PreHWGt15.csv
359.0044696,3565969,3154787,2396802,0,0,0
371.0044696,3921354,3453793,2610725,0,0,0
386.9993842,5791763,4908408,4232030,0,0,0
402.9942988,3252010,3751188,2371533,0,0,0
417.0099488,4176736,4995759,2850307,0,0,0
429.0099488,2874838,3720909,2268945,0,0,0
337.0201196,3994816,3932222,2708248,0,0,0
333.025205,3142311,4083184,3094024,0,0,0
349.0201196,5083453,4996887,3576968,0,0,0
365.0150342,5465262,5234278,3915852,0,0,0
345.025205,4267017,4781521,3742290,0,0,0
377.0150342,5558955,5757988,5014483,0,0,0
393.0099488,3893984,3980377,2822432,0,0,0
389.0150342,6683259,7576548,5047659,0,0,0
405.0099488,5474378,5588570,3718302,0,0,0
407.0255988,7196985,8014708,5072192,0,0,0
423.0205134,3572492,4230952,2614001,0,0,0
376.067404,3672396,2938057,2470051,0,0,0
419.0255988,6391650,7562995,4504003,0,0,0
435.0205134,3891200,4898266,2731175,0,0,0
431.0255988,5502279,6428298,3369549,0,0,0
447.0205134,3517839,4374294,2687321,0,0,0
443.0255988,3900687,4532238,3126551,0,0,0
459.0205134,2907103,4430004,2013758,0,0,0
477.031078,3426011,4408493,2461838,0,0,0
367.0823258,3241942,3608451,2683651,0,0,0
393.0615904,2968302,3443815,2461996,0,0,0
473.0361634,3538605,5210195,2199091,0,0,0
489.031078,2873876,4081299,2058414,0,0,0
395.0772404,3252974,4349557,2702549,0,0,0
469.0412488,3271345,4238376,2249241,0,0,0
485.0361634,3384219,3949012,2129880,0,0,0
503.046728,3458427,5137842,2508253,0,0,0
323.040855,3495882,3425386,2882995,0,0,0
339.0357696,5098739,3759753,3605701,0,0,0
355.0306842,3840433,3634573,2543500,0,0,0
325.056505,4403567,4021811,3316952,0,0,0
341.0514196,4808510,3774695,3032714,0,0,0
357.0463342,4426918,3243646,3679754,0,0,0
327.072155,3940133,3468814,3048973,0,0,0
343.0670696,4179360,4751195,3421800,0,0,0
359.0619842,4352935,4185465,3529877,0,0,0
382.1004354,3331012,3509037,1928692,0,0,0
345.0827196,3655707,3193316,2397281,0,0,0
367.0306842,7951298,7322991,5616370,0,0,0
383.0255988,4374272,4881511,3298052,0,0,0
385.0412488,5197216,5115653,3505477,0,0,0
387.0568988,7258149,6696330,5903214,0,0,0
373.0776342,6506725,6313585,5238485,0,0,0
389.0725488,4060812,3809269,2492282,0,0,0
375.0932842,3856352,4103522,2940264,0,0,0
395.0255988,6754529,6838888,4401867,0,0,0
397.0412488,8686266,9143379,5680207,0,0,0
413.0361634,3959545,4431311,2909220,0,0,0
399.0568988,8580200,9442840,6089130,0,0,0
415.0518134,4380479,4339281,3287588,0,0,0
401.0725488,7460329,7591859,5252824,0,0,0
417.0674634,3559265,2959538,2353154,0,0,0
403.0881988,4228921,4842788,2946008,0,0,0
409.0412488,8925690,10624100,6900149,0,0,0
425.0361634,5067450,6090526,3817571,0,0,0
427.0518134,6018640,6856446,4349888,0,0,0
378.083054,3384370,3489191,2323749,0,0,0
394.0779686,3404789,3270005,2243591,0,0,0
429.0674634,5917138,6094540,3424011,0,0,0
380.098704,3543815,3315829,2762136,0,0,0
431.0831134,4625731,5488264,3153479,0,0,0
417.1038488,4788065,5136051,3545601,0,0,0
439.0518134,7050895,8893694,4522719,0,0,0
455.046728,4076768,5144918,2627157,0,0,0
390.083054,3896245,3250465,2163318,0,0,0
406.0779686,3780815,2947828,2345722,0,0,0
425.0725488,12274360,14511902,9289824,0,0,0
457.062378,3969109,5077245,2801597,0,0,0
408.0936186,3634597,3273720,1982340,0,0,0
443.0831134,5422346,7257098,3600656,0,0,0
459.078028,2512348,4070578,2458427,0,0,0
445.0987634,3486791,4756365,2941996,0,0,0
465.031078,3433201,4990002,2984522,0,0,0
467.046728,4207304,6029350,3280423,0,0,0
469.062378,4613808,6203432,3280409,0,0,0
471.078028,3730088,5425208,2773533,0,0,0
457.0987634,5304403,5935355,3556282,0,0,0
459.1144134,3715034,4601009,2627384,0,0,0
497.0572926,2865408,4527182,1756294,0,0,0
483.078028,5377891,5790079,2735481,0,0,0
499.0729426,2945329,4374725,1963773,0,0,0
485.093678,4077468,5252566,2264027,0,0,0
471.1144134,4512424,6036536,3576350,0,0,0
509.0572926,2895259,4500243,2078976,0,0,0
495.078028,5411019,6908892,3191312,0,0,0
511.0729426,3092874,5044102,1835855,0,0,0
497.093678,4296961,5640272,2935944,0,0,0
499.109328,3052850,4800711,2025983,0,0,0
523.0729426,3207085,4472268,2575366,0,0,0
525.0885926,2989854,4034073,1858289,0,0,0
525.124978,3036955,4065819,1775601,0,0,0
421.2231758,6702913,6883101,4785500,0,0,0
563.140628,2544357,4575893,1969082,0,0,0
429.124978,8581583,4822730,4743942,0,0,0
561.1672364,5445560,4335316,2561616,0,0,0
,,,,,,
,,,,,,
397.0201196,3693237,4473934,2820171,1630567,1767384,2428088
385.0201196,5326233,5917438,3802431,1649259,2569685,2949997
413.0150342,3803896,4424141,2700324,1752514,1652155,1837419
401.0150342,5083614,6150056,3518160,1805671,1753138,2321398
373.0201196,6541519,6944348,4872898,1978514,2087889,2466437
395.040855,4200677,4586092,2860238,1999671,2424059,2379486
369.025205,4139723,4486254,2918799,2030680,2587170,2387065
357.025205,4668574,5183095,3638787,2082777,2653935,2665005
367.0459404,3305928,4233589,3057399,2108736,2130761,2570609
411.0357696,4166285,5056811,2856448,2115259,2528254,2258157
331.0459404,4312255,4216809,2890915,1403036,1746317,1947601
335.040855,5367982,6189586,4222857,1522683,2073754,1800664
343.0823258,4020645,4584288,2643564,1547486,2694810,2690812
355.0459404,3698614,3806611,3260816,1614573,2373674,2277183
343.0459404,3754905,4418388,2763363,1688531,2122895,2317553
427.0306842,3715666,4906751,2728898,1803312,2607928,2179472
453.0827196,2998647,4200888,2019580,1806235,2483494,2606126
361.0201196,7912090,7750757,5305112,1838309,1893020,3023925
449.0361634,5877460,7076508,4034179,1864414,2173687,1657287
355.0823258,3689412,3747744,2787740,1877242,2101815,2471245
369.0615904,5012185,5143675,3473308,1903207,2863151,3427975
397.056505,4868798,6090838,3723346,1908081,3165920,3352256
425.0514196,3758777,5047070,2934370,1915853,2635545,2637266
409.056505,3231739,4567142,3261878,1979795,2541857,2357322
441.0463342,3615184,5364872,2891770,2000869,2335504,2446981
381.0615904,3495003,4911558,3268285,2050751,2411722,2806308
461.0361634,5037947,6633592,3690196,2055656,2378322,2004990
453.0463342,2903418,3837370,2235135,2059673,2309926,2313776
347.040855,7250589,6669424,4683365,2087377,2546554,2529287
423.072155,2787083,3554600,2645742,2103641,2461930,2147329
499.0518134,2817329,4432067,2321147,2123029,2181855,2216048
359.040855,7576479,7958897,5286030,2152161,3246537,3968308
487.0518134,4229079,6519345,2431553,2154935,2505695,2531489
369.0979758,4548327,4710537,2957224,2160757,3072060,2779285
357.0615904,5402796,5754500,4398607,2173415,2647292,3565627
483.0568988,2775907,4603263,1847672,2220218,2572188,1993405
529.062378,2709462,4650655,2035619,2240702,1974560,1992060
469.0776342,3183792,4965416,2442777,2243493,2715353,2529134
483.0932842,2994532,3974528,1862521,2279105,2750369,2191554
497.0725488,2577665,4485199,2158727,2284423,2087866,2246018
459.0568988,5370845,7518386,4002620,2289461,2906088,3205092
379.0306842,9203081,10448635,7912014,2324926,2211353,2949453
415.0306842,6042430,7338575,4597284,2326191,2209630,2543559
345.0615904,6426644,6180317,3894363,2330443,2887425,3165046
441.0827196,4235724,5344389,3013110,2392550,2800400,3207810
363.0357696,9405866,10366828,6971830,2393345,3136386,3293513
445.0412488,5379148,7670673,4236339,2398803,2203382,2833813
485.0725488,3598236,5483989,2566618,2404408,2459325,2991023
383.0772404,4663058,5165177,3652883,2406316,3088741,3319008
425.087805,3285176,4685597,2705503,2424271,2180377,2186705
439.0670696,2820749,4634877,2579166,2460083,2214177,2154240
455.0619842,4136159,5183829,2986068,2461199,2906964,2706943
383.040855,4741893,5836908,3933961,2537374,2854745,2987732
513.0674634,2660713,4347891,2160529,2572678,2017312,2443215
457.0412488,3948630,5929214,3206078,2579094,2427795,2435557
399.0357696,6076516,7845395,4624806,2588542,2875035,2943601
471.0568988,4016808,5743672,3028509,2599618,2758054,2889216
413.0514196,5714681,7611856,4394532,2630599,3394239,3328877
429.0463342,6208980,7400140,4430605,2637958,3082057,3022139
433.0412488,7749800,9340471,4948349,2668305,2843468,2708590
427.0670696,5766736,6632190,4107199,2670129,3198776,2791310
403.0306842,9131824,10103066,6651858,2673456,3375530,3641683
457.0776342,5213268,6646012,3088316,2681497,2376596,3213285
391.0306842,9802948,11359795,7153498,2706537,2916054,3300013
397.0928904,4565702,5322847,3247192,2755451,2926313,3113161
501.0674634,3930459,5551419,2561903,2762919,1987588,2411355
371.040855,6626776,7201647,4586546,2765694,3029763,3672970
475.0518134,5631679,7108731,3678810,2767667,2493811,2764125
411.072155,4252304,5340463,3621377,2802368,3258370,3009776
443.0619842,5622028,6819852,4123923,2826778,3389185,3220489
371.0772404,6882790,7486333,5138494,3033997,3926800,3847064
413.087805,5259003,6653394,4521509,3037131,3452098,3666287
385.056505,6940069,8083210,5195082,3124856,3431904,3879801
401.0514196,8277477,10278831,6353621,3147631,3984953,4211709
387.0357696,8286238,10142084,5957480,3171633,3276358,3922425
375.0357696,10561482,9988429,7234902,3211694,3412131,3634565
417.0463342,8913761,10268337,7059971,3254655,3033573,3797505
405.0463342,11628623,13126239,8243362,3315408,3542265,4423296
361.056505,11051688,11136115,7545636,3331572,3824810,4882499
373.056505,9428189,10399337,6749902,3358880,4362718,4619923
415.0670696,7836479,9178705,5991972,3402419,3757409,3989960
431.0619842,8862020,9668232,5885514,3478737,3407695,3661017
399.072155,6981739,8224283,5044652,3703175,3526819,3441784
389.0514196,11950726,12911599,7853429,3742176,4084384,4937832
387.072155,9191465,11291023,6224754,3867454,4849745,5247492
545.1288342,4026131,5684137,2211522,10918053,7953628,7155476
371.0619842,10041824,9286519,7525433,1540998,1527307,1993106
321.0615904,4160575,3920570,2959523,1598678,1850767,1736219
351.0357696,7194624,7976414,5789390,1647155,2006193,1910139
369.0463342,10583763,10299510,7361943,1670241,2019881,2363009
353.0514196,10090199,9205941,6999337,1685258,2313579,2617433
315.072155,11831284,7821305,6023097,1694140,2070495,2264758
481.062378,5041967,6656304,3723040,1778505,2085508,1881046
441.0674634,7224781,8436870,5144055,1790437,2031376,2140291
493.062378,4358288,6157162,3118488,1804895,1761634,2352530
323.0772404,4932050,4188786,3193784,1810779,1908544,2649271
368.098704,3165026,3194634,2648664,1832677,1886413,2502414
533.0572926,3456090,4444939,2135332,1849474,1959375,1760557
485.1300634,3306397,4681176,2670556,1912387,1908934,2152374
408.1776228,3247533,3501570,2354569,1917701,2133173,2242036
521.0572926,3289132,4883833,2152972,1924242,1899295,1871694
413.0725488,10076922,11597265,7260709,1942473,2395328,2942318
445.1351488,3191875,3979147,2506792,1966166,1833462,1987472
455.0831134,6672606,9105748,5061714,1968657,2437460,2201599
491.046728,4361299,6246141,2600226,1987788,1810995,1957525
355.0670696,10068414,9089947,7390103,1996021,2420786,3025223
535.0729426,3028875,5152567,2019029,2009939,2444309,2068719
415.0881988,7725888,7962195,5247524,2016949,1778019,1687241
475.1457134,2930368,3438717,2902620,2024259,1917566,2362726
479.046728,4403969,6031594,3143377,2035166,2103154,1959158
331.0823258,4664007,4184050,3237545,2040357,2861462,3257818
349.056505,8925514,9575204,6923410,2081148,2979859,3349693
437.0361634,6078283,7330160,4257733,2103167,1702195,2035583
459.1507988,3226584,3285679,2651446,2140477,2164717,2337253
509.093678,3867035,5761813,3132673,2145976,2292294,2299026
545.093678,2973464,4394921,1746116,2171043,2299100,2480918
481.0987634,6418224,8339762,3850017,2172752,2961033,3090906
321.0979758,3627078,2995905,2195623,2179293,2353815,2730786
537.0885926,3159730,4313948,1725051,2189846,2160720,2062500
549.0885926,2843959,4839332,1702849,2205602,1777908,1785380
511.109328,3460490,5017480,2387792,2219562,1704253,2145596
547.0729426,2981418,4211626,2202694,2226471,1816299,2114209
381.0463342,12111957,13369793,9465016,2233530,2881221,3320863
451.0518134,7141921,8858151,4774329,2250037,2538248,2424947
477.124978,4931293,6516912,3404433,2263183,2428535,1762347
383.1136258,3502878,4385925,2773790,2266553,2691441,3088621
455.134755,2862298,3775826,2482254,2275860,2745174,2706430
549.124978,3117363,4716451,2202046,2316708,2722036,2792994
523.109328,3437483,5134798,2755078,2324921,2593209,2052471
519.078028,4016280,5988641,3003909,2337128,2728058,2338065
401.1089342,10470895,10577850,7857885,2351997,2757701,3312135
521.093678,3586090,6044026,2572812,2374808,2110754,2480463
499.0881988,3072306,4424902,2112254,2378524,2529508,2622068
537.124978,3147438,4792157,1590906,2386457,2247761,1991843
467.0831134,7435976,9392166,4917799,2387096,2474523,2909423
507.078028,3414429,6350496,2827432,2389308,2449219,2524632
385.0776342,11255212,11869969,7891280,2390656,3251175,3267968
339.072155,6572286,7052947,4991693,2428479,3054071,3127359
411.0568988,10961551,12119341,8296961,2453182,2983936,3125487
505.062378,4390290,5952042,2852934,2458553,2769461,2225935
461.1300634,4956022,5313654,3795663,2467313,2334295,2889216
383.0619842,13148940,13952116,9525007,2473382,3194720,4081883
389.1089342,5252759,4892672,3373443,2473971,2399921,3212409
411.1085404,3527314,4931890,2511362,2475205,2602502,2779379
483.1144134,4591460,6572417,3237754,2485957,2086820,2211524
473.1664488,3842734,3697749,1717301,2499076,2605714,2087088
335.0772404,6945975,6643228,4303760,2528261,3402659,2802146
529.0987634,2902483,4710048,2064802,2531011,2831138,2522492
517.062378,3342578,5458113,2530797,2538537,2461122,2345660
479.0831134,6604546,8050923,4138706,2544613,2784119,2823930
427.0881988,9646670,11400958,7002045,2553394,2642232,3154317
531.078028,3158300,4897497,1867112,2553769,2428286,2474844
357.0827196,7607476,6694540,5873173,2585583,2561795,3183171
453.0674634,7592313,9998777,5630205,2596763,2611494,2851375
495.1144134,5660876,6796254,3479058,2602492,2746518,3044497
403.1245842,5448510,4327722,3327964,2604357,2949051,3031395
547.109328,2999846,4675498,1457220,2608425,2008811,2051231
535.109328,3818375,4664120,2121427,2613590,1998358,2492654
497.1300634,4797698,5541970,3090570,2617234,2606531,2197385
477.0674634,6821596,8167598,4473487,2635397,3107439,3029029
463.0518134,6487851,8026189,4517507,2636983,2862805,2651700
517.0987634,3545328,5765315,2446830,2648111,2663365,2810045
421.0412488,8692549,10686235,6756710,2662096,2602664,2418715
487.0881988,4839384,6492723,2447939,2664894,2530277,2795686
405.1038488,3672150,2948200,2359463,2671835,2511618,2243720
515.0831134,3698999,5248094,2606023,2675425,2777851,2493009
533.093678,3407959,4920076,2334499,2677382,1848272,2470188
465.0674634,6848240,9396274,4557385,2688412,2553197,2880645
417.1402342,4285281,3408565,2524672,2713992,2115051,2434050
531.1144134,3122457,5108441,2078055,2716589,2809728,2231131
423.0568988,10328843,12445480,8100079,2721624,3402474,3328513
345.0979758,6048800,5570025,4425828,2746198,4217612,4702594
337.056505,7519946,7419977,5215519,2747409,1964991,2707456
333.0615904,5708464,6439929,4816399,2753029,3105167,3797455
503.0831134,4402555,6542772,2892766,2788918,2725155,2996284
435.0568988,9375741,12373464,6870179,2794315,3641153,3702776
489.0674634,5005333,7445141,3194544,2805571,2498826,2860444
457.1351488,4409424,5781754,2648504,2827421,2324375,2335205
447.1144134,34313094,32979728,20543311,2838167,3024114,3064101
469.0987634,5875376,7796776,3933720,2847656,1906907,2739567
441.119105,3962312,5042307,2887665,2856934,2729231,3323520
473.0725488,5707438,7241812,3480116,2866677,3062919,3121832
341.087805,8043336,6251762,4779154,2886789,2675266,2961557
343.1187112,4087216,3565931,2529909,2918633,2541221,2962183
485.1089342,3458973,5209559,2694619,2923583,2371779,2670003
449.0725488,8374993,10979994,6534784,2926304,3219192,3672262
455.0983696,3422429,4785492,2542673,2928658,2458965,2293246
333.0979758,4581050,4544515,3260438,2930702,3030937,3640792
491.0831134,5449812,7475967,3393828,2958547,2584120,2724505
357.0979758,5265593,5039762,3587610,2964469,3617545,3571785
393.0463342,13625066,15241315,10035496,2973922,3648250,4338906
429.1038488,7977424,8232650,5265160,2979977,2595145,2643769
427.103455,4105805,5617405,3744700,2983475,2755896,3160461
471.0932842,4209320,5696568,2940958,3003079,2637738,3140099
435.1144134,3557880,3704277,2746012,3018060,3053889,2713589
397.1292758,3827406,3710056,2727007,3025285,2733809,2645713
331.1187112,3845840,3129852,2304175,3073581,3159455,3242467
515.1194988,3086645,4286560,2141640,3074792,2643711,2025556
447.0568988,7084940,8979220,5849941,3104405,3213042,2942248
449.1300634,3247819,4218518,2017914,3120866,3474168,2820803
357.1707466,3994325,2928813,2180657,3148817,3265315,3503205
365.0514196,13189309,13308532,8935513,3164707,3838569,4380257
321.1343612,3514957,3179721,2602668,3168228,3569822,3569449
437.0725488,10616648,13217134,7678913,3188096,3253554,3876733
501.1038488,3753307,5514557,2497393,3189935,2758665,3100511
535.1457134,3563395,5372729,1968850,3191130,3017751,2813165
329.1241904,3926263,3213827,2153818,3192414,3010995,3037183
493.0987634,5601425,7117676,3525018,3206759,2528103,3249046
431.1194988,6028608,6739590,4752964,3208403,2129743,2860246
419.0619842,11141986,12467956,8276417,3218997,3927635,4272668
343.103455,5403051,4531047,3412081,3229924,3209377,3880707
463.0881988,7431978,9865292,4858497,3262139,3502295,3387958
451.0881988,9122334,11041317,6490550,3267383,3498760,3607665
511.1457134,3544457,4950922,2365265,3289136,2558274,2966335
439.0881988,9803403,11732220,7172827,3296691,3135265,3682047
507.1144134,4683165,6524579,3160234,3300675,3019079,3104219
325.0928904,5132150,4190268,3124445,3302131,3228673,3468903
519.1144134,3955862,5493027,2635269,3313005,2663038,2785554
547.1457134,4042274,4955050,2069058,3313964,2924779,3170973
457.1140196,4221010,6265083,2909113,3318427,3581846,3403749
487.1245842,4326361,5535285,2340933,3327429,2981866,3765418
471.1296696,3856040,4885560,2441246,3328717,3146158,3299846
469.1351488,5795504,6317097,4008472,3339693,3019486,3527026
475.0881988,6086335,7723132,4424283,3343673,3253111,3337057
483.166055,3479398,3556739,1828477,3349199,2922923,3053258
471.1507988,3775144,4472889,2537502,3362512,2276272,2119176
477.1038488,6842076,9277615,3956369,3366027,3850868,3949608
398.1568874,3874734,4060498,2846484,3372185,2813915,3065782
461.0725488,6727545,9095287,4869842,3381739,3649620,3568639
505.0987634,4547986,5770796,2987080,3412928,2998842,2388754
399.0932842,12756080,13559327,8615344,3416461,3432615,4243069
429.0827196,6468049,7859915,4930314,3428488,3351369,3679546
443.0983696,5742856,6974474,3826958,3429915,3436289,3586567
459.0932842,6571995,7801009,4383546,3451192,4200426,3629028
351.072155,10695693,10624491,7976664,3462464,3566270,4624776
347.0772404,7755433,8214652,5826158,3462621,3242886,4259860
327.1085404,4956461,4080663,2877971,3477662,2798034,4052521
333.1707466,3689676,3079190,2320419,3502112,4189612,3966443
445.0776342,6718537,8835982,5039151,3507796,3448566,3903891
533.1300634,3587155,5259020,2224930,3542154,2938833,3148075
385.0928904,6019505,7190294,5355860,3548293,3872235,4766597
413.1241904,5259005,5510613,3035685,3569616,4103365,3942769
455.1194988,7071963,8524115,4932687,3577875,3821397,3791870
429.1402342,6378958,6248137,4369157,3585162,2907466,3995959
531.1507988,3179797,4112090,2098022,3592113,2961282,2982234
441.1038488,8218058,9915524,5962227,3603942,2735888,3103361
485.1453196,3001758,4395481,1888221,3604550,3309256,2558903
337.0928904,7378644,7328851,5310759,3607067,4043721,4355082
537.1613634,3172010,4698974,1994872,3608093,3408978,3441825
390.1670582,3746765,3856697,2972298,3609425,4005858,4168115
401.2333466,3758597,3676114,1664239,3609498,3893853,3786270
357.1343612,4085959,4219552,3149862,3619843,3858198,3800151
407.0619842,14018877,15993720,10297667,3624007,3911201,4677500
367.0670696,14851024,14054781,10746622,3629384,3813201,4454777
509.1300634,4173211,5752600,2844931,3639998,2875467,3004054
387.1296696,7661628,6388129,4984705,3651410,3378275,4005399
397.0776342,15467202,15938651,9643094,3665783,4063973,5358789
377.0514196,12939960,14339122,10543070,3677379,4027243,4697208
371.1863966,3646480,3098022,2448994,3684280,3729208,3983298
485.1664488,3067806,3908058,2026974,3684426,2993867,3385274
523.1457134,3824552,5358031,2534405,3685311,3785148,3019127
359.0772404,8292269,9142655,6209690,3690735,5283286,4609346
335.1136258,6458561,4879911,4248471,3696654,4512173,5219819
433.0776342,9390245,11361846,6899065,3708178,3833676,4563052
549.1613634,3216687,4405155,1956796,3710374,3035380,3223072
441.1554904,3253189,3751041,2149869,3711463,3464463,4068990
501.1402342,3281244,4634944,2255219,3719350,3307534,3307363
323.1136258,4641241,3782267,3347389,3721058,3521608,4441279
378.1670582,3339856,3709894,2728256,3721842,3563760,2815507
453.1038488,8333686,11362743,5969146,3725212,3890983,4177966
529.1351488,2621903,5034657,1847201,3728071,3024676,3172219
399.1085404,6239347,6647331,3495346,3739025,4417707,4877952
415.1245842,8899393,8363605,6051363,3757241,3613029,4182474
406.1983582,3272925,3307781,2491139,3813803,4048295,3707670
427.1398404,3971659,4491005,2952633,3826741,3344185,3686795
517.1351488,3698927,4935877,2274798,3845173,3294153,3102911
521.1300634,3488808,5322108,2756620,3846813,2591013,3202383
387.0932842,7821360,7561622,5422967,3850053,2852952,3088395
503.1194988,4374908,6227382,2604000,3874366,3092776,3525696
465.1038488,8832751,10614834,6110793,3902369,3951984,4187271
333.1343612,4420803,3473421,2990620,3906583,4626850,4555746
329.087805,4081903,3930106,2319444,3919446,2793386,3957750
371.1136258,6364660,6057867,4563018,3944347,4373277,5039014
387.2176966,4134999,3217853,2231192,3956592,3620990,4161074
443.1558842,5011715,4881414,3084552,3980829,3126016,3618308
489.1038488,4827158,7158423,3422386,3981130,3124496,3427745
421.0776342,12143428,14343963,8681828,4002515,4777641,5016091
491.1194988,5548117,6812417,3211558,4035802,3878462,3878558
415.103455,8600384,8906323,5621284,4063415,5135716,4942281
505.1351488,4977042,6915630,3185738,4142023,4057663,4017430
483.1507988,5354341,5927298,2857340,4162252,3363241,3657416
395.0619842,16933098,19096177,11539154,4195645,4451584,5435107
409.0776342,15260157,18590824,11346359,4206999,5228324,5361740
374.1721436,4398212,4200459,2596924,4221018,5173103,5260349
373.1140196,7312627,6322815,5242593,4224695,3078643,3890857
525.1613634,3852056,4300316,2249200,4231378,3417667,3062155
403.0670696,11255605,13234464,8447958,4235576,5047217,4586841
473.1089342,4832942,7311444,3655220,4236283,3481740,3186347
413.1089342,11399932,12185044,8043045,4260814,4577476,5082480
417.0827196,9769825,11679410,7531010,4307331,4026856,4767233
551.1770134,3099708,4694932,1657137,4358678,3792119,3187103
375.2176966,4106254,3146640,2114961,4363766,4283620,4207049
