Mass,C,H,O,N,S,P,Na
255.233,16,32,2,0,0,0,0
281.1395,15,22,5,0,0,0,0
281.2486,18,34,2,0,0,0,0
283.1551,15,24,5,0,0,0,0
285.1344,14,22,6,0,0,0,0
287.2228,16,32,4,0,0,0,0
293.1758,17,26,4,0,0,0,0
293.1792,14,30,4,0,1,0,0
295.1187,15,20,6,0,0,0,0
295.1551,16,24,5,0,0,0,0
297.0827,10,18,10,0,0,0,0
297.098,14,18,7,0,0,0,0
297.1344,15,22,6,0,0,0,0
297.1708,16,26,5,0,0,0,0
297.2435,18,34,3,0,0,0,0
298.1408,13,21,5,3,0,0,0
299.0772,13,16,8,0,0,0,0
299.1137,14,20,7,0,0,0,0
299.15,15,24,6,0,0,0,0
299.1864,16,28,5,0,0,0,0
299.2016,20,28,2,0,0,0,0
301.1293,14,22,7,0,0,0,0
301.1656,15,26,6,0,0,0,0
301.202,16,30,5,0,0,0,0
303.1086,13,20,8,0,0,0,0
303.1449,14,24,7,0,0,0,0
303.1813,15,28,6,0,0,0,0
303.2177,16,32,5,0,0,0,0
305.1395,17,22,5,0,0,0,0
305.1606,14,26,7,0,0,0,0
305.1758,18,26,4,0,0,0,0
307.1187,16,20,6,0,0,0,0
307.1398,13,24,8,0,0,0,0
307.1551,17,24,5,0,0,0,0
307.1949,15,32,4,0,1,0,0
311.1864,17,28,5,0,0,0,0
311.2228,18,32,4,0,0,0,0
311.2955,20,40,2,0,0,0,0
313.1769,15,26,5,2,0,0,0
313.1809,20,26,3,0,0,0,0
313.2021,17,30,5,0,0,0,0
313.2384,18,34,4,0,0,0,0
314.1358,13,21,6,3,0,0,0
315.1238,18,20,5,0,0,0,0
315.1966,20,28,3,0,0,0,0
315.2177,17,32,5,0,0,0,0
315.2541,18,36,4,0,0,0,0
316.1514,13,23,6,3,0,0,0
317.1759,19,26,4,0,0,0,0
319.0857,13,20,7,0,1,0,0
319.1762,15,28,7,0,0,0,0
319.1915,19,28,4,0,0,0,0
319.2126,16,32,6,0,0,0,0
321.1191,13,22,9,0,0,0,0
321.1555,14,26,8,0,0,0,0
321.2071,19,30,4,0,0,0,0
321.2105,16,34,4,0,1,0,0
322.1408,15,21,5,3,0,0,0
323.117,13,24,7,0,1,0,0
323.1534,14,28,6,0,1,0,0
324.1565,15,23,5,3,0,0,0
325.0963,12,22,8,0,1,0,0
325.1479,17,26,4,0,1,0,0
325.1691,14,30,6,0,1,0,0
326.1357,14,21,6,3,0,0,0
327.1238,19,20,5,0,0,0,0
327.1562,15,24,6,2,0,0,0
327.1601,20,24,4,0,0,0,0
327.1925,16,28,5,2,0,0,0
329.1718,15,26,6,2,0,0,0
332.1252,16,19,5,3,0,0,0
333.2071,20,30,4,0,0,0,0
333.2283,17,34,6,0,0,0,0
335.117,14,24,7,0,1,0,0
335.1898,16,32,5,0,1,0,0
335.2075,16,32,7,0,0,0,0
335.2228,20,32,4,0,0,0,0
336.1565,16,23,5,3,0,0,0
337.0963,13,22,8,0,1,0,0
337.1504,14,26,9,0,0,0,0
337.169,15,30,6,0,1,0,0
337.2385,20,34,4,0,0,0,0
338.1092,12,21,10,1,0,0,0
338.1357,15,21,6,3,0,0,0
339.1119,13,24,8,0,1,0,0
339.1483,14,28,7,0,1,0,0
339.1636,18,28,4,0,1,0,0
339.1661,14,28,9,0,0,0,0
339.1847,15,32,6,0,1,0,0
339.2541,20,36,4,0,0,0,0
341.1276,13,26,8,0,1,0,0
341.1354,15,22,7,2,0,0,0
341.176,21,26,4,0,0,0,0
341.2334,19,34,5,0,0,0,0
341.2697,20,38,4,0,0,0,0
342.2035,16,29,5,3,0,0,0
343.1585,17,28,5,0,1,0,0
343.1915,21,28,4,0,0,0,0
343.249,19,36,5,0,0,0,0
345.1093,17,18,6,2,0,0,0
346.1984,15,29,6,3,0,0,0
347.117,15,24,7,0,1,0,0
347.146,14,24,8,2,0,0,0
347.2228,21,32,4,0,0,0,0
348.1201,16,19,6,3,0,0,0
348.13,14,23,9,1,0,0,0
348.1565,17,23,5,3,0,0,0
348.1929,18,27,4,3,0,0,0
349.0413,12,14,12,0,0,0,0
349.0963,14,22,8,0,1,0,0
349.2054,17,34,5,0,1,0,0
351.112,14,24,8,0,1,0,0
351.1483,15,28,7,0,1,0,0
351.1661,15,28,9,0,0,0,0
351.1847,16,32,6,0,1,0,0
351.2025,16,32,8,0,0,0,0
352.125,13,23,10,1,0,0,0
352.1879,17,27,5,3,0,0,0
353.0912,13,22,9,0,1,0,0
353.1276,14,26,8,0,1,0,0
353.164,15,30,7,0,1,0,0
353.2334,20,34,5,0,0,0,0
355.1068,13,24,9,0,1,0,0
355.1433,14,28,8,0,1,0,0
355.1511,16,24,7,2,0,0,0
355.1585,18,28,5,0,1,0,0
355.1949,19,32,4,0,1,0,0
355.249,20,36,5,0,0,0,0
356.2191,17,31,5,3,0,0,0
357.0861,12,22,10,0,1,0,0
357.1377,17,26,6,0,1,0,0
357.1741,18,30,5,0,1,0,0
357.2071,22,30,4,0,0,0,0
357.2647,20,38,5,0,0,0,0
358.1062,15,22,7,1,0,1,0
358.2348,17,33,5,3,0,0,0
359.1534,17,28,6,0,1,0,0
359.1824,16,28,7,2,0,0,0
359.2228,22,32,4,0,0,0,0
360.1929,19,27,4,3,0,0,0
360.214,16,31,6,3,0,0,0
361.0963,15,22,8,0,1,0,0
361.1617,15,26,8,2,0,0,0
361.2384,22,34,4,0,0,0,0
361.2596,19,38,6,0,0,0,0
362.1457,15,25,9,1,0,0,0
362.1722,18,25,5,3,0,0,0
362.2086,19,29,4,3,0,0,0
363.1119,15,24,8,0,1,0,0
364.1548,14,27,6,3,1,0,0
365.0912,14,22,9,0,1,0,0
365.1276,15,26,8,0,1,0,0
365.164,16,30,7,0,1,0,0
365.2334,21,34,5,0,0,0,0
366.0986,13,25,3,3,3,0,0
367.1069,14,24,9,0,1,0,0
367.1432,15,28,8,0,1,0,0
367.1796,16,32,7,0,1,0,0
367.249,21,36,5,0,0,0,0
367.2854,22,40,4,0,0,0,0
368.0961,20,19,4,1,1,0,0
369.0861,13,22,10,0,1,0,0
369.1225,14,26,9,0,1,0,0
369.1304,16,22,8,2,0,0,0
369.1589,15,30,8,0,1,0,0
369.1742,19,30,5,0,1,0,0
369.2072,23,30,4,0,0,0,0
369.2647,21,38,5,0,0,0,0
370.2347,18,33,5,3,0,0,0
371.0654,12,20,11,0,1,0,0
371.1534,18,28,6,0,1,0,0
371.1824,17,28,7,2,0,0,0
371.1898,19,32,5,0,1,0,0
372.1712,14,33,6,1,0,2,0
372.1969,25,27,2,1,0,0,0
372.2334,26,31,1,1,0,0,0
373.0881,16,23,6,0,1,1,0
373.0963,16,22,8,0,1,0,0
373.0988,12,22,13,0,0,0,0
373.1325,17,26,7,0,1,0,0
373.1617,16,26,8,2,0,0,0
373.1691,18,30,6,0,1,0,0
374.1457,16,25,9,1,0,0,0
374.1755,16,29,5,3,1,0,0
374.2297,17,33,6,3,0,0,0
375.0754,15,20,9,0,1,0,0
375.1038,16,25,6,0,1,1,0
375.1198,18,20,7,2,0,0,0
375.1483,17,28,7,0,1,0,0
376.1613,16,27,9,1,0,0,0
376.1878,19,27,5,3,0,0,0
376.2089,16,31,7,3,0,0,0
377.0857,15,26,1,2,4,0,0
377.1276,16,26,8,0,1,0,0
377.1718,19,26,6,2,0,0,0
377.2004,18,34,6,0,1,0,0
377.2545,19,38,7,0,0,0,0
378.1341,14,25,7,3,1,0,0
378.1705,15,29,6,3,1,0,0
379.1068,15,24,9,0,1,0,0
379.1433,16,28,8,0,1,0,0
379.1796,17,32,7,0,1,0,0
379.1974,17,32,9,0,0,0,0
379.216,18,36,6,0,1,0,0
380.1351,18,23,8,1,0,0,0
380.1497,14,27,7,3,1,0,0
381.1225,15,26,9,0,1,0,0
381.1313,18,26,3,2,2,0,0
381.1589,16,30,8,0,1,0,0
381.1953,17,34,7,0,1,0,0
381.2647,22,38,5,0,0,0,0
382.0935,13,25,4,3,3,0,0
383.1017,14,24,10,0,1,0,0
383.1292,18,28,1,2,3,0,0
383.1381,15,28,9,0,1,0,0
383.1559,15,28,11,0,0,0,0
383.1746,16,32,8,0,1,0,0
383.2228,24,32,4,0,0,0,0
383.2803,22,40,5,0,0,0,0
385.081,13,22,11,0,1,0,0
385.1449,18,30,1,2,3,0,0
385.1538,15,30,9,0,1,0,0
385.1616,17,26,8,2,0,0,0
385.1691,19,30,6,0,1,0,0
386.2126,26,29,2,1,0,0,0
386.2297,18,33,6,3,0,0,0
387.1117,17,24,8,0,1,0,0
387.1484,18,28,7,0,1,0,0
387.2752,21,40,6,0,0,0,0
388.0935,14,31,1,1,5,0,0
388.125,16,23,10,1,0,0,0
388.1919,25,27,3,1,0,0,0
388.2089,17,31,7,3,0,0,0
389.1639,18,30,7,0,1,0,0
389.2909,21,42,6,0,0,0,0
390.1405,16,25,10,1,0,0,0
390.2035,20,29,5,3,0,0,0
390.2068,17,33,5,3,1,0,0
391.1875,20,28,6,2,0,0,0
391.249,23,36,5,0,0,0,0
391.2523,20,40,5,0,1,0,0
392.1351,19,23,8,1,0,0,0
392.1562,16,27,10,1,0,0,0
393.1224,16,26,9,0,1,0,0
393.1589,17,30,8,0,1,0,0
393.1953,18,34,7,0,1,0,0
393.2317,19,38,6,0,1,0,0
393.2646,23,38,5,0,0,0,0
394.1653,15,29,7,3,1,0,0
395.1012,17,21,7,2,0,1,0
395.1018,15,24,10,0,1,0,0
395.1381,16,28,9,0,1,0,0
395.1745,17,32,8,0,1,0,0
395.2109,18,36,7,0,1,0,0
397.1174,15,26,10,0,1,0,0
397.1538,16,30,9,0,1,0,0
397.1715,16,30,11,0,0,0,0
397.1902,17,34,8,0,1,0,0
397.2596,22,38,6,0,0,0,0
399.0966,14,24,11,0,1,0,0
399.1241,18,28,2,2,3,0,0
399.1427,15,29,10,0,0,1,0
399.2752,22,40,6,0,0,0,0
400.1919,26,27,3,1,0,0,0
401.1123,14,26,11,0,1,0,0
401.13,14,26,13,0,0,0,0
401.1487,15,30,10,0,1,0,0
401.1737,19,31,7,0,0,1,0
402.2075,26,29,3,1,0,0,0
402.2439,27,33,2,1,0,0,0
403.0986,17,25,7,0,1,1,0
403.1067,17,24,9,0,1,0,0
403.1432,18,28,8,0,1,0,0
403.1893,19,33,7,0,0,1,0
403.2701,21,40,7,0,0,0,0
403.3065,22,44,6,0,0,0,0
405.1223,17,26,9,0,1,0,0
405.1347,17,30,3,2,3,0,0
405.1436,14,30,11,0,1,0,0
405.1589,18,30,8,0,1,0,0
405.1953,19,34,7,0,1,0,0
405.2647,24,38,5,0,0,0,0
406.2347,21,33,5,3,0,0,0
407.1137,23,20,7,0,0,0,0
407.138,17,28,9,0,1,0,0
407.1745,18,32,8,0,1,0,0
407.2109,19,36,7,0,1,0,0
407.265,20,40,8,0,0,0,0
409.1174,16,26,10,0,1,0,0
409.1657,24,26,6,0,0,0,0
409.1902,18,34,8,0,1,0,0
409.2079,18,34,10,0,0,0,0
409.2266,19,38,7,0,1,0,0
409.2596,23,38,6,0,0,0,0
410.1066,22,21,5,1,1,0,0
410.1667,16,29,11,1,0,0,0
410.2218,18,37,7,1,1,0,0
410.2297,20,33,6,3,0,0,0
411.1695,17,32,9,0,1,0,0
411.1871,17,32,11,0,0,0,0
411.2752,23,40,6,0,0,0,0
412.1041,21,19,8,1,0,0,0
412.1223,22,23,5,1,1,0,0
412.2283,28,31,2,1,0,0,0
413.1123,15,26,11,0,1,0,0
413.122,15,27,11,0,0,1,0
413.1487,16,30,10,0,1,0,0
413.1663,16,30,12,0,0,0,0
414.2075,27,29,3,1,0,0,0
415.0915,14,24,12,0,1,0,0
415.128,15,28,11,0,1,0,0
415.1456,15,28,13,0,0,0,0
415.1644,16,32,10,0,1,0,0
416.2038,18,31,8,3,0,0,0
417.1686,19,31,8,0,0,1,0
417.2646,25,38,5,0,0,0,0
417.2858,22,42,7,0,0,0,0
418.1984,21,29,6,3,0,0,0
419.1672,17,28,10,2,0,0,0
419.2109,20,36,7,0,1,0,0
419.3014,22,44,7,0,0,0,0
420.1512,17,27,11,1,0,0,0
421.0811,16,22,11,0,1,0,0
421.1172,19,23,7,2,0,1,0
421.1635,18,31,9,0,0,1,0
421.1902,19,34,8,0,1,0,0
421.2443,20,38,9,0,0,0,0
423.1694,18,32,9,0,1,0,0
423.1791,18,33,9,0,0,1,0
423.2058,19,36,8,0,1,0,0
423.2752,24,40,6,0,0,0,0
424.209,20,31,7,3,0,0,0
424.2257,22,36,5,1,0,1,0
425.1122,16,26,11,0,1,0,0
425.1487,17,30,10,0,1,0,0
425.1762,21,34,1,2,3,0,0
425.1851,18,34,9,0,1,0,0
425.2027,18,34,11,0,0,0,0
425.3636,26,50,4,0,0,0,0
426.1196,22,21,8,1,0,0,0
427.128,16,28,11,0,1,0,0
427.2701,23,40,7,0,0,0,0
428.1172,22,23,6,1,1,0,0
428.2402,20,35,7,3,0,0,0
428.2595,29,35,2,1,0,0,0
429.2647,26,38,5,0,0,0,0
429.2858,23,42,7,0,0,0,0
430.1041,16,33,2,1,5,0,0
430.1578,26,26,3,1,0,1,0
430.2025,27,29,4,1,0,0,0
430.2195,19,33,8,3,0,0,0
430.2388,28,33,3,1,0,0,0
431.0962,14,25,13,0,0,1,0
432.1197,16,35,2,1,5,0,0
432.1988,18,31,9,3,0,0,0
433.2806,22,42,8,0,0,0,0
433.3323,27,46,4,0,0,0,0
434.1933,21,29,7,3,0,0,0
435.1621,17,28,11,2,0,0,0
435.1694,19,32,9,0,1,0,0
435.2058,20,36,8,0,1,0,0
435.2235,20,36,10,0,0,0,0
435.2752,25,40,6,0,0,0,0
435.2962,22,44,8,0,0,0,0
437.122,17,27,11,0,0,1,0
437.1487,18,30,10,0,1,0,0
437.1851,19,34,9,0,1,0,0
437.2028,19,34,11,0,0,0,0
437.2215,20,38,8,0,1,0,0
437.2391,20,38,10,0,0,0,0
439.1644,18,32,10,0,1,0,0
439.182,18,32,12,0,0,0,0
439.2008,19,36,9,0,1,0,0
439.2126,26,32,6,0,0,0,0
439.2701,24,40,7,0,0,0,0
440.1171,23,23,6,1,1,0,0
440.2038,20,31,8,3,0,0,0
441.2164,19,38,9,0,1,0,0
441.2647,27,38,5,0,0,0,0
441.2857,24,42,7,0,0,0,0
442.1831,19,29,9,3,0,0,0
442.2195,20,33,8,3,0,0,0
442.2388,29,33,3,1,0,0,0
443.2803,27,40,5,0,0,0,0
444.1988,19,31,9,3,0,0,0
445.1021,15,26,13,0,1,0,0
445.1199,15,26,15,0,0,0,0
445.2807,23,42,8,0,0,0,0
445.2959,27,42,5,0,0,0,0
447.1177,15,28,13,0,1,0,0
447.2599,22,40,9,0,0,0,0
449.1947,20,35,9,0,0,1,0
449.2756,22,42,9,0,0,0,0
449.2907,26,42,6,0,0,0,0
449.2909,26,42,6,0,0,0,0
450.1616,18,29,12,1,0,0,0
451.2104,20,37,9,0,0,1,0
451.2128,27,32,6,0,0,0,0
451.2184,20,36,11,0,0,0,0
451.2548,21,40,10,0,0,0,0
453.18,19,34,10,0,1,0,0
453.1977,19,34,12,0,0,0,0
453.2164,20,38,9,0,1,0,0
453.2857,25,42,7,0,0,0,0
455.0863,16,24,13,0,1,0,0
455.1786,20,40,3,0,4,0,0
455.1957,19,36,10,0,1,0,0
455.2803,28,40,5,0,0,0,0
455.3014,25,44,7,0,0,0,0
456.1988,20,31,9,3,0,0,0
457.2806,24,42,8,0,0,0,0
457.296,28,42,5,0,0,0,0
459.2963,24,44,8,0,0,0,0
461.2756,23,42,9,0,0,0,0
462.1302,17,37,3,1,5,0,0
462.2093,19,33,10,3,0,0,0
463.1035,25,20,9,0,0,0,0
463.1127,36,16,1,0,0,0,0
463.2548,22,40,10,0,0,0,0
463.3065,27,44,6,0,0,0,0
465.1191,25,22,9,0,0,0,0
465.1977,20,34,12,0,0,0,0
465.2341,21,38,11,0,0,0,0
465.2705,22,42,10,0,0,0,0
467.1958,20,36,10,0,1,0,0
467.2133,20,36,12,0,0,0,0
467.244,28,36,6,0,0,0,0
467.2497,21,40,11,0,0,0,0
467.3015,26,44,7,0,0,0,0
469.1846,19,35,11,0,0,1,0
469.1926,19,34,13,0,0,0,0
469.2807,25,42,8,0,0,0,0
469.2959,29,42,5,0,0,0,0
470.1277,24,25,7,1,1,0,0
470.1515,17,29,14,1,0,0,0
471.2963,25,44,8,0,0,0,0
471.3116,29,44,5,0,0,0,0
472.1494,17,31,12,1,1,0,0
473.2756,24,42,9,0,0,0,0
473.3273,29,46,5,0,0,0,0
474.1287,16,29,13,1,1,0,0
475.1128,37,16,1,0,0,0,0
475.2548,23,40,10,0,0,0,0
475.2913,24,44,9,0,0,0,0
475.3066,28,44,6,0,0,0,0
477.1283,37,18,1,0,0,0,0
477.1355,20,31,9,0,1,1,0
477.2705,23,42,10,0,0,0,0
479.0984,25,20,10,0,0,0,0
479.1348,26,24,9,0,0,0,0
479.2497,22,40,11,0,0,0,0
480.1723,19,31,13,1,0,0,0
481.1846,20,35,11,0,0,1,0
481.229,21,38,12,0,0,0,0
481.2596,29,38,6,0,0,0,0
481.2654,22,42,11,0,0,0,0
482.1278,25,25,7,1,1,0,0
482.1642,26,29,6,1,1,0,0
482.1668,22,29,11,1,0,0,0
483.1816,23,36,3,2,3,0,0
483.2003,20,37,11,0,0,1,0
483.2083,20,36,13,0,0,0,0
483.2963,26,44,8,0,0,0,0
483.2997,23,48,8,0,1,0,0
483.3116,30,44,5,0,0,0,0
484.1252,17,31,7,3,3,0,0
484.2048,30,32,3,1,0,1,0
485.1973,30,30,6,0,0,0,0
485.2062,20,38,11,0,1,0,0
485.2215,24,38,8,0,1,0,0
485.3121,26,46,8,0,0,0,0
485.3484,27,50,7,0,0,0,0
486.1464,17,29,15,1,0,0,0
487.2912,25,44,9,0,0,0,0
488.1886,20,31,11,3,0,0,0
488.1996,29,32,4,1,0,1,0
488.236,30,36,3,1,0,1,0
489.2202,30,35,4,0,0,1,0
489.2705,24,42,10,0,0,0,0
489.3069,25,46,9,0,0,0,0
489.3222,29,46,6,0,0,0,0
491.1537,17,33,14,0,0,1,0
491.2498,23,40,11,0,0,0,0
491.2861,24,44,10,0,0,0,0
493.1141,26,22,10,0,0,0,0
493.1675,19,30,13,2,0,0,0
493.2655,23,42,11,0,0,0,0
493.3171,28,46,7,0,0,0,0
494.188,20,33,13,1,0,0,0
495.1639,20,33,12,0,0,1,0
495.2389,29,36,7,0,0,0,0
495.2446,22,40,12,0,0,0,0
495.2811,23,44,11,0,0,0,0
496.1824,23,31,11,1,0,0,0
497.161,22,32,7,2,0,2,0
497.1795,20,35,12,0,0,1,0
497.2239,21,38,13,0,0,0,0
497.2909,30,42,6,0,0,0,0
497.312,27,46,8,0,0,0,0
499.1854,20,36,12,0,1,0,0
499.241,32,37,3,0,0,1,0
499.2913,26,44,9,0,0,0,0
501.192,30,30,7,0,0,0,0
501.2679,29,42,5,0,1,0,0
501.2705,25,42,10,0,0,0,0
501.3069,26,46,9,0,0,0,0
502.154,25,29,8,1,1,0,0
503.2862,25,44,10,0,0,0,0
505.1338,18,35,10,0,2,1,0
505.1693,29,30,6,0,1,0,0
505.1747,22,34,11,0,1,0,0
505.229,23,38,12,0,0,0,0
505.2654,24,42,11,0,0,0,0
505.3019,25,46,10,0,0,0,0
506.1202,18,37,5,1,5,0,0
506.1991,20,33,12,3,0,0,0
507.0932,26,20,11,0,0,0,0
507.146,32,28,2,0,2,0,0
507.1832,20,32,13,2,0,0,0
507.1904,22,36,11,0,1,0,0
507.2447,23,40,12,0,0,0,0
507.2811,24,44,11,0,0,0,0
507.3328,29,48,7,0,0,0,0
509.1454,27,26,10,0,0,0,0
509.2181,29,34,8,0,0,0,0
509.2239,22,38,13,0,0,0,0
509.2545,30,38,7,0,0,0,0
509.312,28,46,8,0,0,0,0
511.2395,22,40,13,0,0,0,0
511.2701,30,40,7,0,0,0,0
512.1984,20,35,14,1,0,0,0
512.211,28,35,6,1,1,0,0
512.2361,32,36,3,1,0,1,0
513.2188,21,38,14,0,0,0,0
513.3069,27,46,9,0,0,0,0
513.3103,24,50,9,0,1,0,0
513.3221,31,46,6,0,0,0,0
515.2708,22,44,13,0,0,0,0
515.2781,26,45,8,0,0,1,0
515.2835,30,44,5,0,1,0,0
515.2861,26,44,10,0,0,0,0
516.2309,31,36,4,1,0,1,0
516.2674,32,40,3,1,0,1,0
517.1046,17,26,18,0,0,0,0
517.229,24,38,12,0,0,0,0
517.2654,25,42,11,0,0,0,0
517.3018,26,46,10,0,0,0,0
519.2446,24,40,12,0,0,0,0
519.281,25,44,11,0,0,0,0
520.1357,19,39,5,1,5,0,0
521.1609,25,34,4,2,3,0,0
521.2238,23,38,13,0,0,0,0
521.2603,24,42,12,0,0,0,0
523.1612,28,28,10,0,0,0,0
523.2337,30,36,8,0,0,0,0
523.2395,23,40,13,0,0,0,0
523.325,33,48,3,0,1,0,0
523.3277,29,48,8,0,0,0,0
525.2189,22,38,14,0,0,0,0
525.2552,23,42,13,0,0,0,0
526.2518,33,38,3,1,0,1,0
527.19,21,37,13,0,0,1,0
527.2344,22,40,14,0,0,0,0
527.3226,28,48,9,0,0,0,0
528.1514,26,27,11,1,0,0,0
528.231,32,36,4,1,0,1,0
528.2674,33,40,3,1,0,1,0
529.2137,21,38,15,0,0,0,0
529.2501,22,42,14,0,0,0,0
529.2688,23,46,11,0,1,0,0
529.3018,27,46,10,0,0,0,0
529.3052,24,50,10,0,1,0,0
529.3171,31,46,7,0,0,0,0
529.3382,28,50,9,0,0,0,0
531.1486,19,33,15,0,0,1,0
531.2447,25,40,12,0,0,0,0
531.3327,31,48,7,0,0,0,0
533.2604,25,42,12,0,0,0,0
533.2968,26,46,11,0,0,0,0
533.3484,31,50,7,0,0,0,0
535.0882,27,20,12,0,0,0,0
535.1516,18,32,18,0,0,0,0
535.2033,23,36,14,0,0,0,0
535.2396,24,40,13,0,0,0,0
535.276,25,44,12,0,0,0,0
537.1767,29,30,10,0,0,0,0
537.2188,23,38,14,0,0,0,0
537.2553,24,42,13,0,0,0,0
537.3069,29,46,9,0,0,0,0
537.3433,30,50,8,0,0,0,0
539.0468,25,16,14,0,0,0,0
539.1923,29,32,10,0,0,0,0
539.2345,23,40,14,0,0,0,0
539.2709,24,44,13,0,0,0,0
539.3073,25,48,12,0,0,0,0
539.3226,29,48,9,0,0,0,0
540.1933,21,35,15,1,0,0,0
540.2675,34,40,3,1,0,1,0
541.2501,23,42,14,0,0,0,0
541.2807,31,42,8,0,0,0,0
541.3018,28,46,10,0,0,0,0
541.3382,29,50,9,0,0,0,0
541.4484,33,66,1,0,2,0,0
542.2466,33,38,4,1,0,1,0
542.2831,34,42,3,1,0,1,0
543.2296,22,40,15,0,0,0,0
543.2784,31,44,6,0,1,0,0
543.2811,27,44,11,0,0,0,0
543.2963,31,44,8,0,0,0,0
543.3175,28,48,10,0,0,0,0
544.2623,33,40,4,1,0,1,0
545.2604,26,42,12,0,0,0,0
545.2968,27,46,11,0,0,0,0
545.312,31,46,8,0,0,0,0
547.134,40,20,3,0,0,0,0
547.2396,25,40,13,0,0,0,0
547.2761,26,44,12,0,0,0,0
547.3125,27,48,11,0,0,0,0
547.3277,31,48,8,0,0,0,0
548.2097,22,35,13,3,0,0,0
549.2552,25,42,13,0,0,0,0
549.2917,26,46,12,0,0,0,0
549.3433,31,50,8,0,0,0,0
551.2346,24,40,14,0,0,0,0
551.271,25,44,13,0,0,0,0
551.3226,30,48,9,0,0,0,0
