Mass,C,H,O,N,S,P,Na
553.1352,28,26,12,0,0,0,0
553.1716,29,30,11,0,0,0,0
553.208,30,34,10,0,0,0,0
553.2138,23,38,15,0,0,0,0
553.2503,24,42,14,0,0,0,0
553.3383,30,50,9,0,0,0,0
554.2831,35,42,3,1,0,1,0
555.1872,29,32,11,0,0,0,0
555.2294,23,40,15,0,0,0,0
555.26,31,40,9,0,0,0,0
555.2659,24,44,14,0,0,0,0
555.3176,29,48,10,0,0,0,0
556.1707,42,23,1,1,0,0,0
556.2623,34,40,4,1,0,1,0
556.2988,35,44,3,1,0,1,0
557.2756,31,42,9,0,0,0,0
557.2968,28,46,11,0,0,0,0
557.3332,29,50,10,0,0,0,0
559.2242,22,40,16,0,0,0,0
559.2397,26,40,13,0,0,0,0
559.276,27,44,12,0,0,0,0
559.3124,28,48,11,0,0,0,0
559.3277,32,48,8,0,0,0,0
559.4861,33,69,4,0,0,1,0
560.183,20,35,17,1,0,0,0
561.1496,41,22,3,0,0,0,0
561.2036,21,38,17,0,0,0,0
561.2552,26,42,13,0,0,0,0
561.2916,27,46,12,0,0,0,0
561.3069,31,46,9,0,0,0,0
561.3281,28,50,11,0,0,0,0
563.1384,19,33,17,0,0,1,0
563.2709,26,44,13,0,0,0,0
563.3073,27,48,12,0,0,0,0
563.3225,31,48,9,0,0,0,0
565.1354,29,26,12,0,0,0,0
565.1445,40,22,4,0,0,0,0
565.2502,25,42,14,0,0,0,0
565.2866,26,46,13,0,0,0,0
565.3383,31,50,9,0,0,0,0
566.2203,22,37,14,3,0,0,0
567.1508,29,28,12,0,0,0,0
567.2295,24,40,15,0,0,0,0
567.2658,25,44,14,0,0,0,0
567.3175,30,48,10,0,0,0,0
569.0937,27,22,14,0,0,0,0
569.1666,29,30,12,0,0,0,0
569.2393,31,38,10,0,0,0,0
569.2451,24,42,15,0,0,0,0
569.2757,32,42,9,0,0,0,0
569.2968,29,46,11,0,0,0,0
569.3332,30,50,10,0,0,0,0
570.144,28,29,10,1,1,0,0
570.2038,22,37,16,1,0,0,0
571.2243,23,40,16,0,0,0,0
571.276,28,44,12,0,0,0,0
571.2912,32,44,9,0,0,0,0
571.3125,29,48,11,0,0,0,0
571.3488,30,52,10,0,0,0,0
572.1594,28,31,10,1,1,0,0
573.2553,27,42,13,0,0,0,0
573.2764,24,46,15,0,0,0,0
573.2917,28,46,12,0,0,0,0
573.3069,32,46,9,0,0,0,0
573.3314,26,54,11,0,1,0,0
573.3644,30,54,10,0,0,0,0
575.2346,26,40,14,0,0,0,0
575.271,27,44,13,0,0,0,0
575.3073,28,48,12,0,0,0,0
575.3226,32,48,9,0,0,0,0
577.1444,41,22,4,0,0,0,0
577.1808,42,26,3,0,0,0,0
577.2502,26,42,14,0,0,0,0
577.2866,27,46,13,0,0,0,0
577.3019,31,46,10,0,0,0,0
577.3383,32,50,9,0,0,0,0
579.149,26,34,7,2,1,2,0
579.16010000000006,41,24,4,0,0,0,0
579.2658,26,44,14,0,0,0,0
579.3023,27,48,13,0,0,0,0
579.3176,31,48,10,0,0,0,0
580.1569,21,43,7,1,5,0,0
581.2029,31,34,11,0,0,0,0
581.2088,24,38,16,0,0,0,0
581.2452,25,42,15,0,0,0,0
581.2815,26,46,14,0,0,0,0
581.2967,30,46,11,0,0,0,0
581.3331,31,50,10,0,0,0,0
581.3695,32,54,9,0,0,0,0
583.1185,39,20,6,0,0,0,0
583.1822,30,32,12,0,0,0,0
583.2185,31,36,11,0,0,0,0
583.2244,24,40,16,0,0,0,0
583.255,32,40,10,0,0,0,0
583.3125,30,48,11,0,0,0,0
583.3488,31,52,10,0,0,0,0
583.3853,32,56,9,0,0,0,0
585.1745,30,38,2,2,4,0,0
585.1978,30,34,12,0,0,0,0
585.2342,31,38,11,0,0,0,0
585.2401,24,42,16,0,0,0,0
585.2918,29,46,12,0,0,0,0
585.3282,30,50,11,0,0,0,0
585.3646,31,54,10,0,0,0,0
585.4008,32,58,9,0,0,0,0
586.3094,36,46,4,1,0,1,0
587.2709,28,44,13,0,0,0,0
587.2862,32,44,10,0,0,0,0
587.3074,29,48,12,0,0,0,0
588.1781,21,35,18,1,0,0,0
589.2502,27,42,14,0,0,0,0
589.2866,28,46,13,0,0,0,0
589.3018,32,46,10,0,0,0,0
591.1415,20,32,20,0,0,0,0
591.1965,43,28,3,0,0,0,0
591.2659,27,44,14,0,0,0,0
591.3023,28,48,13,0,0,0,0
591.3176,32,48,10,0,0,0,0
593.1646,27,36,7,2,1,2,0
593.1758,42,26,4,0,0,0,0
593.2814,27,46,14,0,0,0,0
593.2967,31,46,11,0,0,0,0
593.3332,32,50,10,0,0,0,0
594.1726,22,45,7,1,5,0,0
595.155,41,24,5,0,0,0,0
595.3124,31,48,11,0,0,0,0
595.3489,32,52,10,0,0,0,0
596.1518,21,43,8,1,5,0,0
597.1252,29,26,14,0,0,0,0
597.1978,31,34,12,0,0,0,0
597.2341,32,38,11,0,0,0,0
597.2402,25,42,16,0,0,0,0
597.2705,33,42,10,0,0,0,0
597.2917,30,46,12,0,0,0,0
597.3281,31,50,11,0,0,0,0
599.1043,28,24,15,0,0,0,0
599.2135,31,36,12,0,0,0,0
599.25,32,40,11,0,0,0,0
599.2557,25,44,16,0,0,0,0
599.271,29,44,13,0,0,0,0
599.2862,33,44,10,0,0,0,0
599.3074,30,48,12,0,0,0,0
599.3438,31,52,11,0,0,0,0
601.2502,28,42,14,0,0,0,0
601.2654,32,42,11,0,0,0,0
601.2867,29,46,13,0,0,0,0
601.3018,33,46,10,0,0,0,0
601.323,30,50,12,0,0,0,0
601.3956,32,58,10,0,0,0,0
601.396,32,58,10,0,0,0,0
602.2315,34,38,7,1,0,1,0
603.2659,28,44,14,0,0,0,0
603.281,32,44,11,0,0,0,0
603.3023,29,48,13,0,0,0,0
603.3175,33,48,10,0,0,0,0
603.328,34,53,5,0,1,1,0
605.2604,31,42,12,0,0,0,0
605.2816,28,46,14,0,0,0,0
605.2968,32,46,11,0,0,0,0
605.3333,33,50,10,0,0,0,0
607.1305,27,28,16,0,0,0,0
607.2761,31,44,12,0,0,0,0
607.297,28,48,14,0,0,0,0
607.3125,32,48,11,0,0,0,0
607.349,33,52,10,0,0,0,0
609.1461,27,30,16,0,0,0,0
609.1706,42,26,5,0,0,0,0
609.2917,31,46,12,0,0,0,0
609.3282,32,50,11,0,0,0,0
610.0957,28,25,9,3,2,0,0
611.1771,31,32,13,0,0,0,0
611.2194,25,40,17,0,0,0,0
611.3074,31,48,12,0,0,0,0
611.3438,32,52,11,0,0,0,0
613.1564,30,30,14,0,0,0,0
613.1694,27,35,14,0,0,1,0
613.1929,31,34,13,0,0,0,0
613.2292,32,38,12,0,0,0,0
613.235,25,42,17,0,0,0,0
613.2502,29,42,14,0,0,0,0
613.2655,33,42,11,0,0,0,0
613.2866,30,46,13,0,0,0,0
613.323,31,50,12,0,0,0,0
615.2084,31,36,13,0,0,0,0
615.2447,32,40,12,0,0,0,0
615.2506,25,44,17,0,0,0,0
615.2659,29,44,14,0,0,0,0
615.2811,33,44,11,0,0,0,0
615.3023,30,48,13,0,0,0,0
615.3177,34,48,10,0,0,0,0
615.3388,31,52,12,0,0,0,0
616.2473,26,51,7,1,4,0,0
617.1512,29,30,15,0,0,0,0
617.2241,31,38,13,0,0,0,0
617.2604,32,42,12,0,0,0,0
617.2816,29,46,14,0,0,0,0
617.2969,33,46,11,0,0,0,0
617.3028,26,50,16,0,0,0,0
617.3181,30,50,13,0,0,0,0
617.3334,34,50,10,0,0,0,0
617.829,17,17,4,1,10,0,0
619.2396,31,40,13,0,0,0,0
619.2761,32,44,12,0,0,0,0
619.3125,33,48,11,0,0,0,0
621.1826,29,34,15,0,0,0,0
621.2553,31,42,13,0,0,0,0
621.2917,32,46,12,0,0,0,0
621.3281,33,50,11,0,0,0,0
622.2102,24,37,16,3,0,0,0
623.2349,33,41,6,2,1,1,0
623.271,31,44,13,0,0,0,0
623.3074,32,48,12,0,0,0,0
623.344,33,52,11,0,0,0,0
625.0954,29,26,10,2,2,0,0
625.2293,33,38,12,0,0,0,0
625.2503,30,42,14,0,0,0,0
625.2655,34,42,11,0,0,0,0
625.2867,31,46,13,0,0,0,0
625.323,32,50,12,0,0,0,0
625.3596,33,54,11,0,0,0,0
627.1721,31,32,14,0,0,0,0
627.2086,32,36,13,0,0,0,0
627.2449,33,40,12,0,0,0,0
627.2506,26,44,17,0,0,0,0
627.2659,30,44,14,0,0,0,0
627.2813,34,44,11,0,0,0,0
627.3024,31,48,13,0,0,0,0
627.3388,32,52,12,0,0,0,0
629.1513,30,30,15,0,0,0,0
629.224,32,38,13,0,0,0,0
629.2606,33,42,12,0,0,0,0
629.2663,26,46,17,0,0,0,0
629.2815,30,46,14,0,0,0,0
629.2968,34,46,11,0,0,0,0
629.3179,31,50,13,0,0,0,0
631.167,30,32,15,0,0,0,0
631.2761,33,44,12,0,0,0,0
631.3125,34,48,11,0,0,0,0
631.3336,31,52,13,0,0,0,0
633.1827,30,34,15,0,0,0,0
633.2554,32,42,13,0,0,0,0
633.2917,33,46,12,0,0,0,0
633.3282,34,50,11,0,0,0,0
634.2119,34,37,9,1,1,0,0
635.2346,31,40,14,0,0,0,0
635.271,32,44,13,0,0,0,0
635.3075,33,48,12,0,0,0,0
635.3439,34,52,11,0,0,0,0
637.2115,23,43,18,0,0,1,0
637.2502,31,42,14,0,0,0,0
637.2866,32,46,13,0,0,0,0
637.3231,33,50,12,0,0,0,0
637.3596,34,54,11,0,0,0,0
639.266,31,44,14,0,0,0,0
639.3024,32,48,13,0,0,0,0
639.339,36,53,4,2,1,1,0
641.2606,34,42,12,0,0,0,0
641.2663,27,46,17,0,0,0,0
641.2814,31,46,14,0,0,0,0
641.2819,31,46,14,0,0,0,0
641.318,32,50,13,0,0,0,0
641.3544,33,54,12,0,0,0,0
643.2763,34,44,12,0,0,0,0
643.2818,27,48,17,0,0,0,0
643.2971,31,48,14,0,0,0,0
643.3126,35,48,11,0,0,0,0
644.2076,42,31,6,1,0,0,0
645.2554,33,42,13,0,0,0,0
645.2612,26,46,18,0,0,0,0
645.2919,34,46,12,0,0,0,0
645.3129,31,50,14,0,0,0,0
645.328,35,50,11,0,0,0,0
647.2348,32,40,14,0,0,0,0
647.2405,25,44,19,0,0,0,0
647.2711,33,44,13,0,0,0,0
647.3075,34,48,12,0,0,0,0
647.3285,31,52,14,0,0,0,0
647.3441,35,52,11,0,0,0,0
649.2505,32,42,14,0,0,0,0
649.2868,33,46,13,0,0,0,0
649.3231,34,50,12,0,0,0,0
649.3595,35,54,11,0,0,0,0
651.2275,27,46,10,2,1,2,0
651.2661,32,44,14,0,0,0,0
651.3025,33,48,13,0,0,0,0
651.339,34,52,12,0,0,0,0
652.1964,23,45,14,1,1,2,0
653.2816,32,46,14,0,0,0,0
653.3183,33,50,13,0,0,0,0
657.2555,34,42,13,0,0,0,0
657.2612,27,46,18,0,0,0,0
657.2918,35,46,12,0,0,0,0
657.3129,32,50,14,0,0,0,0
659.2769,27,48,18,0,0,0,0
659.3075,35,48,12,0,0,0,0
659.3285,32,52,14,0,0,0,0
660.1938,34,36,7,3,1,1,0
661.2561,26,46,19,0,0,0,0
661.323,35,50,12,0,0,0,0
661.3441,32,54,14,0,0,0,0
663.2353,25,44,20,0,0,0,0
663.2661,33,44,14,0,0,0,0
663.3026,34,48,13,0,0,0,0
663.3388,35,52,12,0,0,0,0
663.3599,32,56,14,0,0,0,0
665.3545,35,54,12,0,0,0,0
667.2973,33,48,14,0,0,0,0
668.1731,31,31,14,3,0,0,0
668.2521,26,43,17,3,0,0,0
669.3129,33,50,14,0,0,0,0
670.1888,31,33,14,3,0,0,0
670.2565,27,45,18,1,0,0,0
671.1621,32,32,16,0,0,0,0
671.2405,27,44,19,0,0,0,0
671.2769,28,48,18,0,0,0,0
671.3076,36,48,12,0,0,0,0
671.8469,21,11,9,3,7,0,0
673.2562,27,46,19,0,0,0,0
673.2867,35,46,13,0,0,0,0
675.2717,27,48,19,0,0,0,0
675.3025,35,48,13,0,0,0,0
676.7974,22,14,5,0,10,0,0
676.8036,15,18,10,0,10,0,0
676.8486,26,14,6,0,8,0,0
677.2455,33,42,15,0,0,0,0
677.2509,26,46,20,0,0,0,0
679.3337,35,52,13,0,0,0,0
681.192,45,30,7,0,0,0,0
681.3495,35,54,13,0,0,0,0
687.2296,34,40,15,0,0,0,0
687.272,28,48,19,0,0,0,0
687.3025,36,48,13,0,0,0,0
689.251,27,46,20,0,0,0,0
691.2975,35,48,14,0,0,0,0
693.1735,38,34,7,2,2,0,0
693.3132,35,50,14,0,0,0,0
694.279,37,46,10,1,0,1,0
695.2073,46,32,7,0,0,0,0
695.2078,46,32,7,0,0,0,0
695.2634,38,49,6,0,2,1,0
703.1212,24,32,24,0,0,0,0
703.2667,28,48,20,0,0,0,0
709.2235,47,34,7,0,0,0,0
710.2627,28,45,18,3,0,0,0
711.2026,46,32,8,0,0,0,0
715.1937,27,40,22,0,0,0,0
717.1369,25,34,24,0,0,0,0
717.2461,28,46,21,0,0,0,0
719.2615,28,48,21,0,0,0,0
719.2621,28,48,21,0,0,0,0
721.1316,24,34,25,0,0,0,0
721.2411,27,46,22,0,0,0,0
723.239,48,36,7,0,0,0,0
725.2185,39,40,8,2,0,2,0
729.246,29,46,21,0,0,0,0
731.1525,26,36,24,0,0,0,0
731.2251,28,44,22,0,0,0,0
731.2255,28,44,22,0,0,0,0
733.2775,29,50,21,0,0,0,0
735.1477,25,36,25,0,0,0,0
735.2565,28,48,22,0,0,0,0
745.1684,51,27,3,2,0,1,0
745.2773,30,50,21,0,0,0,0
745.2778,30,50,21,0,0,0,0
747.2567,29,48,22,0,0,0,0
747.2929,30,52,21,0,0,0,0
747.2934,44,48,5,2,2,0,0
749.163,26,38,25,0,0,0,0
749.1635,50,27,4,2,0,1,0
749.2358,28,46,23,0,0,0,0
757.2044,29,42,23,0,0,0,0
758.2049,34,37,17,3,0,0,0
759.2569,30,48,22,0,0,0,0
761.2723,30,50,22,0,0,0,0
763.1787,27,40,25,0,0,0,0
763.2515,29,48,23,0,0,0,0
763.2881,30,52,22,0,0,0,0
775.2885,53,44,4,0,1,0,0
777.2313,53,35,3,2,0,1,0
779.2467,53,37,3,2,0,1,0
781.2258,28,46,25,0,0,0,0
787.2152,30,44,24,0,0,0,0
791.2469,54,37,3,2,0,1,0
795.2418,29,48,25,0,0,0,0
809.2575,54,39,4,2,0,1,0
811.3108,45,54,6,2,1,2,0
819.2052,54,33,5,2,0,1,0
819.2423,53,40,7,0,1,0,0
819.2784,56,41,3,2,0,1,0
827.2681,52,44,8,0,1,0,0
841.2474,54,39,6,2,0,1,0
853.2115,54,35,7,2,0,1,0
861.2889,58,43,4,2,0,1,0
867.2629,56,41,6,2,0,1,0
867.2634,54,44,9,0,1,0,0
909.2742,56,46,10,0,1,0,0
909.3106,57,50,9,0,1,0,0
910.6131,47,95,9,1,1,2,0
921.2007,57,35,9,2,0,1,0
923.3259,60,49,6,2,0,1,0
965.3358,62,51,7,2,0,1,0
966.3398,61,49,9,3,0,0,0
971.3125,67,44,6,2,0,0,0
303.0722,12,16,9,0,0,0,0
328.115,13,19,7,3,0,0,0
319.1398,14,24,8,0,0,0,0
358.078,14,17,10,1,0,0,0
331.0307,12,12,11,0,0,0,0
597.0732,24,22,18,0,0,0,0
631.2456,25,44,18,0,0,0,0
737.1994,26,42,24,0,0,0,0
747.1834,27,40,24,0,0,0,0
733.241,28,46,22,0,0,0,0
601.2349,24,42,17,0,0,0,0
365.0362,12,14,13,0,0,0,0
311.062,10,16,11,0,0,0,0
658.1836,24,37,20,1,0,0,0
331.1147,13,20,8,2,0,0,0
593.1393,41,22,5,0,0,0,0
355.1148,15,20,8,2,0,0,0
659.1313,23,32,22,0,0,0,0
344.11,13,19,8,3,0,0,0
705.246,27,46,21,0,0,0,0
609.1343,41,22,6,0,0,0,0
567.1676,21,32,16,2,0,0,0
642.2364,24,41,17,3,0,0,0
456.1358,16,27,14,1,0,0,0
599.1619,26,32,16,0,0,0,0
330.1307,13,21,7,3,0,0,0
587.2193,23,40,17,0,0,0,0
644.2042,24,39,19,1,0,0,0
605.1877,29,34,14,0,0,0,0
438.1616,17,29,12,1,0,0,0
547.1668,23,32,15,0,0,0,0
416.0835,16,19,12,1,0,0,0
547.094,21,24,17,0,0,0,0
547.2032,24,36,14,0,0,0,0
356.0987,15,19,9,1,0,0,0
571.0941,23,24,17,0,0,0,0
444.1735,27,28,3,1,0,1,0
541.0473,21,18,17,0,0,0,0
514.2153,31,34,4,1,0,1,0
311.0984,11,20,10,0,0,0,0
371.146,16,24,8,2,0,0,0
789.2308,30,46,24,0,0,0,0
584.1832,22,35,17,1,0,0,0
422.0941,15,21,13,1,0,0,0
373.089,14,18,10,2,0,0,0
545.2087,21,38,16,0,0,0,0
341.015,13,10,11,0,0,0,0
339.1602,21,24,4,0,0,0,0
567.0628,23,20,17,0,0,0,0
411.348,25,48,4,0,0,0,0
777.2308,29,46,24,0,0,0,0
613.1775,27,34,16,0,0,0,0
625.1986,25,38,18,0,0,0,0
386.0729,15,17,11,1,0,0,0
347.1096,13,20,9,2,0,0,0
456.1735,28,28,3,1,0,1,0
839.2315,54,37,6,2,0,1,0
416.1198,17,23,11,1,0,0,0
392.1675,15,27,9,3,0,0,0
547.1305,22,28,16,0,0,0,0
470.1892,29,30,3,1,0,1,0
595.1879,24,36,17,0,0,0,0
462.1366,17,25,12,3,0,0,0
500.162,18,31,15,1,0,0,0
507.1944,29,33,6,0,0,1,0
569.0995,20,26,19,0,0,0,0
563.1619,23,32,16,0,0,0,0
414.0678,16,17,12,1,0,0,0
623.1983,29,36,15,0,0,0,0
583.2761,29,44,12,0,0,0,0
573.1825,25,34,15,0,0,0,0
509.1623,19,30,14,2,0,0,0
421.11,15,22,12,2,0,0,0
805.226,30,46,25,0,0,0,0
464.141,18,27,13,1,0,0,0
348.0936,13,19,10,1,0,0,0
519.2083,23,36,13,0,0,0,0
581.1149,25,26,16,0,0,0,0
390.1154,14,21,10,3,0,0,0
378.1518,14,25,9,3,0,0,0
533.224,24,38,13,0,0,0,0
729.2098,28,42,22,0,0,0,0
610.2103,23,37,16,3,0,0,0
462.173,18,29,11,3,0,0,0
559.1305,23,28,16,0,0,0,0
595.1187,40,20,6,0,0,0,0
545.0783,21,22,17,0,0,0,0
553.047,22,18,17,0,0,0,0
489.0523,18,18,16,0,0,0,0
500.1997,30,32,4,1,0,1,0
357.1304,15,22,8,2,0,0,0
609.1825,28,34,15,0,0,0,0
487.0364,18,16,16,0,0,0,0
505.1788,29,31,6,0,0,1,0
369.094,15,18,9,2,0,0,0
597.1786,22,34,17,2,0,0,0
573.1098,23,26,17,0,0,0,0
629.1208,22,30,21,0,0,0,0
363.141,14,24,9,2,0,0,0
507.2083,22,36,13,0,0,0,0
821.2208,30,46,26,0,0,0,0
573.1461,24,30,16,0,0,0,0
508.1307,19,27,15,1,0,0,0
433.1101,16,22,12,2,0,0,0
543.0628,21,20,17,0,0,0,0
563.1287,40,20,4,0,0,0,0
791.2099,29,44,25,0,0,0,0
377.1567,15,26,9,2,0,0,0
641.2299,26,42,18,0,0,0,0
549.1672,19,34,18,0,0,0,0
547.1879,20,36,17,0,0,0,0
533.1149,21,26,16,0,0,0,0
411.2422,19,40,7,0,1,0,0
493.0869,36,14,3,0,0,0,0
623.2345,30,40,14,0,0,0,0
391.0994,14,20,11,2,0,0,0
462.1253,18,25,13,1,0,0,0
335.1347,14,24,9,0,0,0,0
609.2553,30,42,13,0,0,0,0
434.1417,16,25,11,3,0,0,0
569.0784,23,22,17,0,0,0,0
779.2098,28,44,25,0,0,0,0
655.2093,26,40,19,0,0,0,0
474.2204,29,34,3,1,0,1,0
649.2197,24,42,20,0,0,0,0
585.2554,28,42,13,0,0,0,0
389.0395,11,18,13,0,1,0,0
478.1203,18,25,14,1,0,0,0
516.1946,30,32,5,1,0,1,0
412.1249,18,23,10,1,0,0,0
506.1628,19,29,13,3,0,0,0
397.0048,15,10,13,0,0,0,0
535.0975,38,16,4,0,0,0,0
569.1835,21,34,16,2,0,0,0
524.1257,19,27,16,1,0,0,0
343.1147,14,20,8,2,0,0,0
545.224,25,38,13,0,0,0,0
533.1876,23,34,14,0,0,0,0
633.2248,24,42,19,0,0,0,0
504.1836,20,31,12,3,0,0,0
511.0366,20,16,16,0,0,0,0
382.1256,16,21,8,3,0,0,0
319.1035,13,20,9,0,0,0,0
385.1253,16,22,9,2,0,0,0
572.1469,20,31,18,1,0,0,0
581.1514,26,30,15,0,0,0,0
765.2309,28,46,24,0,0,0,0
723.2202,26,44,23,0,0,0,0
555.0628,22,20,17,0,0,0,0
430.1025,14,25,12,1,1,0,0
434.1304,17,25,12,1,0,0,0
565.1081,39,18,5,0,0,0,0
685.2198,27,42,20,0,0,0,0
336.0936,12,19,10,1,0,0,0
474.184,28,30,4,1,0,1,0
669.1884,26,38,20,0,0,0,0
487.0941,16,24,17,0,0,0,0
541.2138,22,38,15,0,0,0,0
475.1681,28,29,5,0,0,1,0
613.2139,28,38,15,0,0,0,0
559.094,22,24,17,0,0,0,0
307.067,11,16,10,0,0,0,0
625.214,29,38,15,0,0,0,0
446.0973,14,25,13,1,1,0,0
499.0366,19,16,16,0,0,0,0
388.0886,15,19,11,1,0,0,0
521.1876,22,34,14,0,0,0,0
553.1047,20,26,18,0,0,0,0
460.1573,18,27,11,3,0,0,0
532.2258,31,36,5,1,0,1,0
395.1308,14,24,11,2,0,0,0
420.1623,16,27,10,3,0,0,0
449.0971,35,14,1,0,0,0,0
426.1015,22,21,6,1,1,0,0
395.0468,13,16,14,0,0,0,0
465.1362,17,26,13,2,0,0,0
583.1153,21,28,19,0,0,0,0
493.0835,18,22,16,0,0,0,0
554.1363,20,29,17,1,0,0,0
519.0993,20,24,16,0,0,0,0
557.0784,22,22,17,0,0,0,0
419.1783,26,29,3,0,0,1,0
557.1148,23,26,16,0,0,0,0
457.026,17,14,15,0,0,0,0
689.1418,24,34,23,0,0,0,0
380.0835,13,19,12,1,0,0,0
643.2455,26,44,18,0,0,0,0
538.1778,21,33,15,1,0,0,0
563.1466,19,32,19,0,0,0,0
402.1042,16,21,11,1,0,0,0
370.0991,12,21,12,1,0,0,0
659.2405,26,44,19,0,0,0,0
595.276,30,44,12,0,0,0,0
398.1205,16,21,9,3,0,0,0
515.089,17,24,18,0,0,0,0
551.1288,39,20,4,0,0,0,0
317.1242,14,22,8,0,0,0,0
465.1726,18,30,12,2,0,0,0
454.1566,17,29,13,1,0,0,0
585.1825,26,34,15,0,0,0,0
599.1982,27,36,15,0,0,0,0
427.0729,14,20,15,0,0,0,0
523.2032,22,36,14,0,0,0,0
573.2189,26,38,14,0,0,0,0
600.1781,22,35,18,1,0,0,0
461.0971,36,14,1,0,0,0,0
579.1237,40,20,5,0,0,0,0
427.0154,16,12,14,0,0,0,0
447.1733,27,29,4,0,0,1,0
481.1675,18,30,13,2,0,0,0
583.1305,25,28,16,0,0,0,0
356.1099,14,19,8,3,0,0,0
