"Mass","C","H","N","O","S","P"
351.0569,12,16,0,12,0,0
323.0984,12,20,0,10,0,0
355.0882,12,20,0,12,0,0
341.1089,12,22,0,11,0,0
327.0358,13,12,0,10,0,0
329.0514,13,14,0,10,0,0
315.0722,13,16,0,9,0,0
365.0725,13,18,0,12,0,0
315.1198,13,20,2,7,0,0
353.1089,13,22,0,11,0,0
371.1017,13,24,0,10,1,0
403.0916,13,24,0,12,1,0
321.0252,14,10,0,9,0,0
337.0201,14,10,0,10,0,0
353.015,14,10,0,11,0,0
323.0409,14,12,0,9,0,0
339.0358,14,12,0,10,0,0
355.0307,14,12,0,11,0,0
325.0565,14,14,0,9,0,0
341.0514,14,14,0,10,0,0
357.0463,14,14,0,11,0,0
373.0412,14,14,0,12,0,0
311.0772,14,16,0,8,0,0
327.0722,14,16,0,9,0,0
343.0671,14,16,0,10,0,0
359.062,14,16,0,11,0,0
382.1004,14,17,5,8,0,0
313.0929,14,18,0,8,0,0
329.0878,14,18,0,9,0,0
345.0827,14,18,0,10,0,0
409.0446,14,18,0,12,1,0
331.1035,14,20,0,9,0,0
347.0984,14,20,0,10,0,0
363.0933,14,20,0,11,0,0
342.1307,14,21,3,7,0,0
358.1256,14,21,3,8,0,0
333.1191,14,22,0,9,0,0
365.1089,14,22,0,11,0,0
381.1038,14,22,0,12,0,0
413.0759,14,22,0,12,1,0
345.1303,14,22,2,8,0,0
364.1249,14,23,1,10,0,0
312.1565,14,23,3,5,0,0
328.1514,14,23,3,6,0,0
367.1246,14,24,0,11,0,0
383.1195,14,24,0,12,0,0
359.1572,14,24,4,7,0,0
330.1671,14,25,3,6,0,0
346.162,14,25,3,7,0,0
337.1326,14,26,0,7,1,0
385.1174,14,26,0,10,1,0
417.1072,14,26,0,12,1,0
433.1021,14,26,0,13,1,0
345.178,14,26,4,6,0,0
316.1878,14,27,3,5,0,0
331.0096,15,8,0,9,0,0
333.0252,15,10,0,9,0,0
349.0201,15,10,0,10,0,0
365.015,15,10,0,11,0,0
381.0099,15,10,0,12,0,0
319.0459,15,12,0,8,0,0
335.0409,15,12,0,9,0,0
351.0358,15,12,0,10,0,0
367.0307,15,12,0,11,0,0
383.0256,15,12,0,12,0,0
399.0205,15,12,0,13,0,0
321.0616,15,14,0,8,0,0
337.0565,15,14,0,9,0,0
353.0514,15,14,0,10,0,0
369.0463,15,14,0,11,0,0
385.0412,15,14,0,12,0,0
323.0772,15,16,0,8,0,0
339.0722,15,16,0,9,0,0
355.0671,15,16,0,10,0,0
371.062,15,16,0,11,0,0
387.0569,15,16,0,12,0,0
403.0518,15,16,0,13,0,0
354.0831,15,17,1,9,0,0
325.0929,15,18,0,8,0,0
341.0878,15,18,0,9,0,0
357.0827,15,18,0,10,0,0
373.0776,15,18,0,11,0,0
389.0725,15,18,0,12,0,0
311.1136,15,20,0,7,0,0
327.1085,15,20,0,8,0,0
343.1035,15,20,0,9,0,0
359.0984,15,20,0,10,0,0
375.0933,15,20,0,11,0,0
391.0882,15,20,0,12,0,0
439.0552,15,20,0,13,1,0
354.1307,15,21,3,7,0,0
313.1293,15,22,0,7,0,0
329.1242,15,22,0,8,0,0
345.1191,15,22,0,9,0,0
361.114,15,22,0,10,0,0
377.1089,15,22,0,11,0,0
393.1038,15,22,0,12,0,0
409.0988,15,22,0,13,0,0
385.1365,15,22,4,8,0,0
340.1514,15,23,3,6,0,0
356.1463,15,23,3,7,0,0
372.1412,15,23,3,8,0,0
384.1525,15,23,5,7,0,0
315.1449,15,24,0,7,0,0
331.1398,15,24,0,8,0,0
347.1348,15,24,0,9,0,0
379.1246,15,24,0,11,0,0
395.1195,15,24,0,12,0,0
411.1144,15,24,0,13,0,0
427.1093,15,24,0,14,0,0
343.1511,15,24,2,7,0,0
359.146,15,24,2,8,0,0
355.1623,15,24,4,6,0,0
371.1572,15,24,4,7,0,0
387.1521,15,24,4,8,0,0
326.1721,15,25,3,5,0,0
342.1671,15,25,3,6,0,0
358.162,15,25,3,7,0,0
374.1569,15,25,3,8,0,0
365.1453,15,26,0,10,0,0
381.1402,15,26,0,11,0,0
397.1351,15,26,0,12,0,0
413.1301,15,26,0,13,0,0
429.125,15,26,0,14,0,0
341.183,15,26,4,5,0,0
357.178,15,26,4,6,0,0
373.1729,15,26,4,7,0,0
380.1562,15,27,1,10,0,0
444.1181,15,27,1,12,1,0
441.128,15,27,2,11,0,1
328.1878,15,27,3,5,0,0
344.1827,15,27,3,6,0,0
360.1776,15,27,3,7,0,0
372.1889,15,27,5,6,0,0
335.1711,15,28,0,8,0,0
399.133,15,28,0,10,1,0
431.1229,15,28,0,12,1,0
343.1987,15,28,4,5,0,0
359.1936,15,28,4,6,0,0
375.1885,15,28,4,7,0,0
314.2085,15,29,3,4,0,0
330.2034,15,29,3,5,0,0
343.0096,16,8,0,9,0,0
359.0045,16,8,0,10,0,0
374.9994,16,8,0,11,0,0
329.0303,16,10,0,8,0,0
345.0252,16,10,0,9,0,0
361.0201,16,10,0,10,0,0
377.015,16,10,0,11,0,0
393.0099,16,10,0,12,0,0
331.0459,16,12,0,8,0,0
347.0409,16,12,0,9,0,0
363.0358,16,12,0,10,0,0
379.0307,16,12,0,11,0,0
395.0256,16,12,0,12,0,0
411.0205,16,12,0,13,0,0
362.0518,16,13,1,9,0,0
317.0667,16,14,0,7,0,0
333.0616,16,14,0,8,0,0
349.0565,16,14,0,9,0,0
365.0514,16,14,0,10,0,0
381.0463,16,14,0,11,0,0
397.0412,16,14,0,12,0,0
413.0362,16,14,0,13,0,0
348.0725,16,15,1,8,0,0
364.0674,16,15,1,9,0,0
380.0623,16,15,1,10,0,0
319.0823,16,16,0,7,0,0
335.0772,16,16,0,8,0,0
351.0722,16,16,0,9,0,0
367.0671,16,16,0,10,0,0
383.062,16,16,0,11,0,0
399.0569,16,16,0,12,0,0
415.0518,16,16,0,13,0,0
350.0881,16,17,1,8,0,0
366.0831,16,17,1,9,0,0
382.078,16,17,1,10,0,0
321.098,16,18,0,7,0,0
337.0929,16,18,0,8,0,0
353.0878,16,18,0,9,0,0
369.0827,16,18,0,10,0,0
385.0776,16,18,0,11,0,0
401.0725,16,18,0,12,0,0
417.0675,16,18,0,13,0,0
365.099,16,18,2,8,0,0
352.1038,16,19,1,8,0,0
368.0987,16,19,1,9,0,0
384.0936,16,19,1,10,0,0
323.1136,16,20,0,7,0,0
339.1085,16,20,0,8,0,0
355.1035,16,20,0,9,0,0
371.0984,16,20,0,10,0,0
387.0933,16,20,0,11,0,0
403.0882,16,20,0,12,0,0
325.1293,16,22,0,7,0,0
341.1242,16,22,0,8,0,0
357.1191,16,22,0,9,0,0
373.114,16,22,0,10,0,0
389.1089,16,22,0,11,0,0
405.1038,16,22,0,12,0,0
352.1514,16,23,3,6,0,0
368.1463,16,23,3,7,0,0
384.1412,16,23,3,8,0,0
400.1362,16,23,3,9,0,0
311.15,16,24,0,6,0,0
327.1449,16,24,0,7,0,0
343.1398,16,24,0,8,0,0
359.1348,16,24,0,9,0,0
375.1297,16,24,0,10,0,0
407.1195,16,24,0,12,0,0
423.1144,16,24,0,13,0,0
387.1409,16,24,2,9,0,0
383.1572,16,24,4,7,0,0
399.1521,16,24,4,8,0,0
451.1123,16,25,2,11,0,1
338.1721,16,25,3,5,0,0
354.1671,16,25,3,6,0,0
370.162,16,25,3,7,0,0
386.1569,16,25,3,8,0,0
402.1518,16,25,3,9,0,0
313.1657,16,26,0,6,0,0
329.1606,16,26,0,7,0,0
345.1555,16,26,0,8,0,0
361.1504,16,26,0,9,0,0
377.1453,16,26,0,10,0,0
393.1402,16,26,0,11,0,0
409.1351,16,26,0,12,0,0
425.1301,16,26,0,13,0,0
441.125,16,26,0,14,0,0
357.1667,16,26,2,7,0,0
405.1515,16,26,2,10,0,0
369.178,16,26,4,6,0,0
385.1729,16,26,4,7,0,0
401.1678,16,26,4,8,0,0
340.1878,16,27,3,5,0,0
356.1827,16,27,3,6,0,0
372.1776,16,27,3,7,0,0
388.1725,16,27,3,8,0,0
315.1813,16,28,0,6,0,0
331.1762,16,28,0,7,0,0
347.1711,16,28,0,8,0,0
363.1661,16,28,0,9,0,0
379.161,16,28,0,10,0,0
411.133,16,28,0,10,1,0
427.1457,16,28,0,13,0,0
355.1987,16,28,4,5,0,0
371.1936,16,28,4,6,0,0
387.1885,16,28,4,7,0,0
403.1834,16,28,4,8,0,0
326.2085,16,29,3,4,0,0
358.1984,16,29,3,6,0,0
349.1868,16,30,0,8,0,0
365.1817,16,30,0,9,0,0
381.1766,16,30,0,10,0,0
357.2143,16,30,4,5,0,0
373.2093,16,30,4,6,0,0
389.2042,16,30,4,7,0,0
328.2242,16,31,3,4,0,0
344.2191,16,31,3,5,0,0
376.1912,16,31,3,5,1,0
337.2054,16,34,0,5,1,0
353.2003,16,34,0,6,1,0
371.0045,17,8,0,10,0,0
386.9994,17,8,0,11,0,0
402.9943,17,8,0,12,0,0
341.0303,17,10,0,8,0,0
357.0252,17,10,0,9,0,0
373.0201,17,10,0,10,0,0
389.015,17,10,0,11,0,0
405.0099,17,10,0,12,0,0
327.051,17,12,0,7,0,0
343.0459,17,12,0,8,0,0
359.0409,17,12,0,9,0,0
375.0358,17,12,0,10,0,0
391.0307,17,12,0,11,0,0
407.0256,17,12,0,12,0,0
423.0205,17,12,0,13,0,0
329.0667,17,14,0,7,0,0
345.0616,17,14,0,8,0,0
361.0565,17,14,0,9,0,0
377.0514,17,14,0,10,0,0
393.0463,17,14,0,11,0,0
409.0412,17,14,0,12,0,0
425.0362,17,14,0,13,0,0
441.0311,17,14,0,14,0,0
360.0725,17,15,1,8,0,0
376.0674,17,15,1,9,0,0
392.0623,17,15,1,10,0,0
331.0823,17,16,0,7,0,0
347.0772,17,16,0,8,0,0
363.0722,17,16,0,9,0,0
379.0671,17,16,0,10,0,0
395.062,17,16,0,11,0,0
411.0569,17,16,0,12,0,0
427.0518,17,16,0,13,0,0
362.0881,17,17,1,8,0,0
378.0831,17,17,1,9,0,0
394.078,17,17,1,10,0,0
410.0729,17,17,1,11,0,0
333.098,17,18,0,7,0,0
349.0929,17,18,0,8,0,0
365.0878,17,18,0,9,0,0
381.0827,17,18,0,10,0,0
397.0776,17,18,0,11,0,0
413.0725,17,18,0,12,0,0
429.0675,17,18,0,13,0,0
364.1038,17,19,1,8,0,0
380.0987,17,19,1,9,0,0
396.0936,17,19,1,10,0,0
319.1187,17,20,0,6,0,0
335.1136,17,20,0,7,0,0
351.1085,17,20,0,8,0,0
367.1035,17,20,0,9,0,0
383.0984,17,20,0,10,0,0
399.0933,17,20,0,11,0,0
415.0882,17,20,0,12,0,0
431.0831,17,20,0,13,0,0
395.1096,17,20,2,9,0,0
366.1194,17,21,1,8,0,0
398.1093,17,21,1,10,0,0
414.1042,17,21,1,11,0,0
378.1307,17,21,3,7,0,0
321.1344,17,22,0,6,0,0
337.1293,17,22,0,7,0,0
353.1242,17,22,0,8,0,0
369.1191,17,22,0,9,0,0
385.114,17,22,0,10,0,0
401.1089,17,22,0,11,0,0
417.1038,17,22,0,12,0,0
433.0988,17,22,0,13,0,0
349.1405,17,22,2,6,0,0
384.13,17,23,1,9,0,0
380.1463,17,23,3,7,0,0
396.1412,17,23,3,8,0,0
323.15,17,24,0,6,0,0
339.1449,17,24,0,7,0,0
355.1398,17,24,0,8,0,0
371.1348,17,24,0,9,0,0
387.1297,17,24,0,10,0,0
403.1246,17,24,0,11,0,0
419.1195,17,24,0,12,0,0
435.1144,17,24,0,13,0,0
395.1572,17,24,4,7,0,0
334.1772,17,25,3,4,0,0
350.1721,17,25,3,5,0,0
366.1671,17,25,3,6,0,0
382.162,17,25,3,7,0,0
398.1569,17,25,3,8,0,0
309.1707,17,26,0,5,0,0
325.1657,17,26,0,6,0,0
341.1606,17,26,0,7,0,0
357.1555,17,26,0,8,0,0
373.1504,17,26,0,9,0,0
389.1453,17,26,0,10,0,0
405.1402,17,26,0,11,0,0
421.1351,17,26,0,12,0,0
437.1301,17,26,0,13,0,0
453.125,17,26,0,14,0,0
469.1199,17,26,0,15,0,0
397.1729,17,26,4,7,0,0
413.1678,17,26,4,8,0,0
465.128,17,27,2,11,0,1
368.1827,17,27,3,6,0,0
384.1776,17,27,3,7,0,0
400.1725,17,27,3,8,0,0
416.1675,17,27,3,9,0,0
412.1838,17,27,5,7,0,0
508.1355,17,27,5,11,1,0
311.1686,17,28,0,3,1,0
327.1813,17,28,0,6,0,0
343.1762,17,28,0,7,0,0
359.1711,17,28,0,8,0,0
375.1661,17,28,0,9,0,0
391.161,17,28,0,10,0,0
423.1508,17,28,0,12,0,0
439.1457,17,28,0,13,0,0
455.1406,17,28,0,14,0,0
471.1355,17,28,0,15,0,0
383.1936,17,28,4,6,0,0
399.1885,17,28,4,7,0,0
415.1834,17,28,4,8,0,0
354.2034,17,29,3,5,0,0
370.1984,17,29,3,6,0,0
386.1933,17,29,3,7,0,0
402.1882,17,29,3,8,0,0
430.1943,17,29,5,8,0,0
329.197,17,30,0,6,0,0
345.1919,17,30,0,7,0,0
361.1868,17,30,0,8,0,0
377.1817,17,30,0,9,0,0
393.1766,17,30,0,10,0,0
441.1614,17,30,0,13,0,0
457.1563,17,30,0,14,0,0
369.2143,17,30,4,5,0,0
385.2093,17,30,4,6,0,0
401.2042,17,30,4,7,0,0
417.1991,17,30,4,8,0,0
340.2242,17,31,3,4,0,0
372.214,17,31,3,6,0,0
400.2202,17,31,5,6,0,0
416.2151,17,31,5,7,0,0
331.2126,17,32,0,6,0,0
347.2075,17,32,0,7,0,0
395.1923,17,32,0,10,0,0
371.23,17,32,4,5,0,0
387.2249,17,32,4,6,0,0
403.2198,17,32,4,7,0,0
342.2398,17,33,3,4,0,0
383.0045,18,8,0,10,0,0
398.9994,18,8,0,11,0,0
353.0303,18,10,0,8,0,0
369.0252,18,10,0,9,0,0
385.0201,18,10,0,10,0,0
401.015,18,10,0,11,0,0
417.0099,18,10,0,12,0,0
433.0049,18,10,0,13,0,0
339.051,18,12,0,7,0,0
355.0459,18,12,0,8,0,0
371.0409,18,12,0,9,0,0
387.0358,18,12,0,10,0,0
403.0307,18,12,0,11,0,0
419.0256,18,12,0,12,0,0
435.0205,18,12,0,13,0,0
451.0154,18,12,0,14,0,0
386.0518,18,13,1,9,0,0
402.0467,18,13,1,10,0,0
341.0667,18,14,0,7,0,0
357.0616,18,14,0,8,0,0
373.0565,18,14,0,9,0,0
389.0514,18,14,0,10,0,0
405.0463,18,14,0,11,0,0
421.0412,18,14,0,12,0,0
437.0362,18,14,0,13,0,0
453.0311,18,14,0,14,0,0
372.0725,18,15,1,8,0,0
388.0674,18,15,1,9,0,0
404.0623,18,15,1,10,0,0
327.0874,18,16,0,6,0,0
343.0823,18,16,0,7,0,0
359.0772,18,16,0,8,0,0
375.0722,18,16,0,9,0,0
391.0671,18,16,0,10,0,0
407.062,18,16,0,11,0,0
423.0569,18,16,0,12,0,0
439.0518,18,16,0,13,0,0
455.0467,18,16,0,14,0,0
374.0881,18,17,1,8,0,0
390.0831,18,17,1,9,0,0
406.078,18,17,1,10,0,0
329.1031,18,18,0,6,0,0
345.098,18,18,0,7,0,0
361.0929,18,18,0,8,0,0
377.0878,18,18,0,9,0,0
393.0827,18,18,0,10,0,0
409.0776,18,18,0,11,0,0
425.0725,18,18,0,12,0,0
441.0675,18,18,0,13,0,0
457.0624,18,18,0,14,0,0
376.1038,18,19,1,8,0,0
392.0987,18,19,1,9,0,0
408.0936,18,19,1,10,0,0
424.0885,18,19,1,11,0,0
331.1187,18,20,0,6,0,0
347.1136,18,20,0,7,0,0
363.1085,18,20,0,8,0,0
379.1035,18,20,0,9,0,0
395.0984,18,20,0,10,0,0
411.0933,18,20,0,11,0,0
427.0882,18,20,0,12,0,0
443.0831,18,20,0,13,0,0
459.078,18,20,0,14,0,0
394.1144,18,21,1,9,0,0
410.1093,18,21,1,10,0,0
317.1394,18,22,0,5,0,0
333.1344,18,22,0,6,0,0
349.1293,18,22,0,7,0,0
365.1242,18,22,0,8,0,0
381.1191,18,22,0,9,0,0
397.114,18,22,0,10,0,0
413.1089,18,22,0,11,0,0
429.1038,18,22,0,12,0,0
445.0988,18,22,0,13,0,0
461.0937,18,22,0,14,0,0
377.1354,18,22,2,7,0,0
376.1514,18,23,3,6,0,0
392.1463,18,23,3,7,0,0
335.15,18,24,0,6,0,0
351.1449,18,24,0,7,0,0
367.1398,18,24,0,8,0,0
383.1348,18,24,0,9,0,0
399.1297,18,24,0,10,0,0
415.1246,18,24,0,11,0,0
431.1195,18,24,0,12,0,0
447.1144,18,24,0,13,0,0
463.1093,18,24,0,14,0,0
363.1562,18,24,2,6,0,0
378.1671,18,25,3,6,0,0
394.162,18,25,3,7,0,0
321.1707,18,26,0,5,0,0
337.1657,18,26,0,6,0,0
353.1606,18,26,0,7,0,0
369.1555,18,26,0,8,0,0
385.1504,18,26,0,9,0,0
401.1453,18,26,0,10,0,0
417.1402,18,26,0,11,0,0
433.1351,18,26,0,12,0,0
449.1301,18,26,0,13,0,0
465.125,18,26,0,14,0,0
497.1148,18,26,0,16,0,0
364.1878,18,27,3,5,0,0
380.1827,18,27,3,6,0,0
412.1725,18,27,3,8,0,0
323.1864,18,28,0,5,0,0
339.1813,18,28,0,6,0,0
355.1762,18,28,0,7,0,0
371.1711,18,28,0,8,0,0
387.1661,18,28,0,9,0,0
403.161,18,28,0,10,0,0
419.1559,18,28,0,11,0,0
467.1406,18,28,0,14,0,0
483.1355,18,28,0,15,0,0
499.1305,18,28,0,16,0,0
411.1885,18,28,4,7,0,0
427.1834,18,28,4,8,0,0
382.1984,18,29,3,6,0,0
398.1933,18,29,3,7,0,0
414.1882,18,29,3,8,0,0
430.1831,18,29,3,9,0,0
442.1943,18,29,5,8,0,0
325.1843,18,30,0,3,1,0
325.202,18,30,0,5,0,0
341.197,18,30,0,6,0,0
357.1919,18,30,0,7,0,0
373.1868,18,30,0,8,0,0
389.1817,18,30,0,9,0,0
405.1766,18,30,0,10,0,0
437.1664,18,30,0,12,0,0
453.1614,18,30,0,13,0,0
469.1563,18,30,0,14,0,0
485.1512,18,30,0,15,0,0
501.1461,18,30,0,16,0,0
517.141,18,30,0,17,0,0
397.2093,18,30,4,6,0,0
413.2042,18,30,4,7,0,0
429.1991,18,30,4,8,0,0
384.214,18,31,3,6,0,0
400.2089,18,31,3,7,0,0
412.2202,18,31,5,6,0,0
428.2151,18,31,5,7,0,0
444.21,18,31,5,8,0,0
327.2177,18,32,0,5,0,0
343.2126,18,32,0,6,0,0
359.2075,18,32,0,7,0,0
375.2024,18,32,0,8,0,0
391.1974,18,32,0,9,0,0
407.1923,18,32,0,10,0,0
423.1872,18,32,0,11,0,0
455.177,18,32,0,13,0,0
471.1719,18,32,0,14,0,0
503.1618,18,32,0,16,0,0
383.23,18,32,4,5,0,0
399.2249,18,32,4,6,0,0
415.2198,18,32,4,7,0,0
431.2147,18,32,4,8,0,0
414.2358,18,33,5,6,0,0
430.2307,18,33,5,7,0,0
329.2333,18,34,0,5,0,0
345.2283,18,34,0,6,0,0
361.2232,18,34,0,7,0,0
377.2181,18,34,0,8,0,0
393.213,18,34,0,9,0,0
385.2456,18,34,4,5,0,0
401.2406,18,34,4,6,0,0
417.2355,18,34,4,7,0,0
356.2555,18,35,3,4,0,0
283.2643,18,36,0,2,0,0
331.249,18,36,0,5,0,0
347.2439,18,36,0,6,0,0
363.2388,18,36,0,7,0,0
379.2337,18,36,0,8,0,0
411.2058,18,36,0,8,1,0
381.2316,18,38,0,6,1,0
397.2265,18,38,0,7,1,0
365.0303,19,10,0,8,0,0
381.0252,19,10,0,9,0,0
397.0201,19,10,0,10,0,0
413.015,19,10,0,11,0,0
429.0099,19,10,0,12,0,0
367.0459,19,12,0,8,0,0
383.0409,19,12,0,9,0,0
399.0358,19,12,0,10,0,0
415.0307,19,12,0,11,0,0
431.0256,19,12,0,12,0,0
447.0205,19,12,0,13,0,0
353.0667,19,14,0,7,0,0
369.0616,19,14,0,8,0,0
385.0565,19,14,0,9,0,0
401.0514,19,14,0,10,0,0
417.0463,19,14,0,11,0,0
433.0412,19,14,0,12,0,0
449.0362,19,14,0,13,0,0
465.0311,19,14,0,14,0,0
400.0674,19,15,1,9,0,0
355.0823,19,16,0,7,0,0
371.0772,19,16,0,8,0,0
387.0722,19,16,0,9,0,0
403.0671,19,16,0,10,0,0
419.062,19,16,0,11,0,0
435.0569,19,16,0,12,0,0
451.0518,19,16,0,13,0,0
467.0467,19,16,0,14,0,0
386.0881,19,17,1,8,0,0
402.0831,19,17,1,9,0,0
418.078,19,17,1,10,0,0
341.1031,19,18,0,6,0,0
357.098,19,18,0,7,0,0
373.0929,19,18,0,8,0,0
389.0878,19,18,0,9,0,0
405.0827,19,18,0,10,0,0
421.0776,19,18,0,11,0,0
437.0725,19,18,0,12,0,0
453.0675,19,18,0,13,0,0
469.0624,19,18,0,14,0,0
485.0573,19,18,0,15,0,0
388.1038,19,19,1,8,0,0
404.0987,19,19,1,9,0,0
420.0936,19,19,1,10,0,0
343.1187,19,20,0,6,0,0
359.1136,19,20,0,7,0,0
375.1085,19,20,0,8,0,0
391.1035,19,20,0,9,0,0
407.0984,19,20,0,10,0,0
423.0933,19,20,0,11,0,0
439.0882,19,20,0,12,0,0
455.0831,19,20,0,13,0,0
471.078,19,20,0,14,0,0
487.0729,19,20,0,15,0,0
390.1194,19,21,1,8,0,0
406.1144,19,21,1,9,0,0
422.1093,19,21,1,10,0,0
329.1394,19,22,0,5,0,0
345.1344,19,22,0,6,0,0
361.1293,19,22,0,7,0,0
377.1242,19,22,0,8,0,0
393.1191,19,22,0,9,0,0
